Unidade,Grupo,Procedimentos Padronizados,Quantidade
BELO HORIZONTE,ESTÉTICA,CARBOXITERAPIA,5.0
BELO HORIZONTE,ESTÉTICA,CRIOLIPÓLISE,22.0
BELO HORIZONTE,ESTÉTICA,DRENAGEM,109.0
BELO HORIZONTE,ESTÉTICA,DRENAGEM 30 MIN,14.0
BELO HORIZONTE,ESTÉTICA,HECCUS,29.0
BELO HORIZONTE,ESTÉTICA,HIDRATAÇÃO,6.0
BELO HORIZONTE,ESTÉTICA,LIMPEZA DE PELE,117.0
BELO HORIZONTE,ESTÉTICA,PEELING DE DIAMANTE,4.0
BELO HORIZONTE,ESTÉTICA,PRÓ- SHAPE,2.0
BELO HORIZONTE,ESTÉTICA,RADIOFREQUÊNCIA,38.0
BELO HORIZONTE,LAVIEEN,LAVIEEN,69.0
BELO HORIZONTE,LAVIEEN,PRÓ-SÉRUM,10.0
BELO HORIZONTE,MEDICINA ESTÉTICA,BOTOX LIGHT,5.0
BELO HORIZONTE,MEDICINA ESTÉTICA,BOTOX POWER,61.0
BELO HORIZONTE,MEDICINA ESTÉTICA,CO2 ROSTO,2.0
BELO HORIZONTE,MEDICINA ESTÉTICA,DERMAROLLER,1.0
BELO HORIZONTE,MEDICINA ESTÉTICA,PEELING QUÍMICO,7.0
BELO HORIZONTE,MEDICINA ESTÉTICA,PREENCHIMENTO,46.0
BELO HORIZONTE,MEDICINA ESTÉTICA,PRÓ-BELLA,4.0
BELO HORIZONTE,MEDICINA ESTÉTICA,PRÓ-LIPO,39.0
BELO HORIZONTE,MEDICINA ESTÉTICA,PRÓ-MESO,1.0
BELO HORIZONTE,MEDICINA ESTÉTICA,RADIESSE,3.0
BELO HORIZONTE,MEDICINA ESTÉTICA,SCULPTRA,26.0
BELO HORIZONTE,MEDICINA ESTÉTICA,SECAGEM,4.0
BELO HORIZONTE,ULTRAFORMER_III,ULTRAFORMER FULLFACE,31.0
BELO HORIZONTE,ULTRAFORMER_III,ULTRAFORMER FULLFACE + PESCOÇO,5.0
BELO HORIZONTE,ULTRAFORMER_III,ULTRAFORMER INTERNO COXA,3.0
BELO HORIZONTE,ULTRAFORMER_III,ULTRAFORMER OLHOS,2.0
BELO HORIZONTE,ULTRAFORMER_III,ULTRAFORMER PAPADA,11.0
BELO HORIZONTE,ULTRAFORMER_III,ULTRAFORMER PESCOÇO,1.0
CAMPINAS,ESTÉTICA,CARBOXITERAPIA,100.0
CAMPINAS,ESTÉTICA,CRIOLIPÓLISE,103.0
CAMPINAS,ESTÉTICA,DRENAGEM,418.0
CAMPINAS,ESTÉTICA,DRENAGEM 30 MIN,81.0
CAMPINAS,ESTÉTICA,HECCUS,116.0
CAMPINAS,ESTÉTICA,LIMPEZA DE PELE,506.0
CAMPINAS,ESTÉTICA,PEELING DE DIAMANTE,8.0
CAMPINAS,ESTÉTICA,PRÓ- SHAPE,57.0
CAMPINAS,ESTÉTICA,PRÓ-SHAPE,110.0
CAMPINAS,ESTÉTICA,RADIOFREQUÊNCIA,45.0
CAMPINAS,LAVIEEN,LAVIEEN,398.0
CAMPINAS,LAVIEEN,PRÓ-SÉRUM,7.0
CAMPINAS,MEDICINA ESTÉTICA,BOTOX LIGHT,18.0
CAMPINAS,MEDICINA ESTÉTICA,BOTOX POWER,260.0
CAMPINAS,MEDICINA ESTÉTICA,CO2 CICATRIZ,3.0
CAMPINAS,MEDICINA ESTÉTICA,CO2 ROSTO,6.0
CAMPINAS,MEDICINA ESTÉTICA,DERMAROLLER,5.0
CAMPINAS,MEDICINA ESTÉTICA,GLÚTEO MAX,3.0
CAMPINAS,MEDICINA ESTÉTICA,PEELING QUÍMICO,20.0
CAMPINAS,MEDICINA ESTÉTICA,PREENCHIMENTO,227.0
CAMPINAS,MEDICINA ESTÉTICA,PRÓ-BELLA,3.0
CAMPINAS,MEDICINA ESTÉTICA,PRÓ-LIPO,194.0
CAMPINAS,MEDICINA ESTÉTICA,PRÓ-MESO,20.0
CAMPINAS,MEDICINA ESTÉTICA,RADIESSE,20.0
CAMPINAS,MEDICINA ESTÉTICA,SCULPTRA,61.0
CAMPINAS,MEDICINA ESTÉTICA,SECAGEM,87.0
CAMPINAS,MEDICINA ESTÉTICA,UP BUMBUM,1.0
CAMPINAS,ULTRAFORMER_III,ULTRAFORMER FULLFACE,64.0
CAMPINAS,ULTRAFORMER_III,ULTRAFORMER FULLFACE + PESCOÇO,4.0
CAMPINAS,ULTRAFORMER_III,ULTRAFORMER FULLFACE + PESCOÇO + PAPADA,2.0
CAMPINAS,ULTRAFORMER_III,ULTRAFORMER MAÇA DO ROSTO,10.0
CAMPINAS,ULTRAFORMER_III,ULTRAFORMER OLHOS,32.0
CAMPINAS,ULTRAFORMER_III,ULTRAFORMER PAPADA,48.0
CAMPINAS,ULTRAFORMER_III,ULTRAFORMER PESCOÇO,15.0
COPACABANA,ESTÉTICA,CARBOXITERAPIA,425.0
COPACABANA,ESTÉTICA,CRIOLIPÓLISE,81.0
COPACABANA,ESTÉTICA,DRENAGEM,2116.0
COPACABANA,ESTÉTICA,DRENAGEM 30 MIN,172.0
COPACABANA,ESTÉTICA,HECCUS,452.0
COPACABANA,ESTÉTICA,HIDRATAÇÃO,10.0
COPACABANA,ESTÉTICA,LIMPEZA DE PELE,654.0
COPACABANA,ESTÉTICA,PEELING DE DIAMANTE,21.0
COPACABANA,ESTÉTICA,PRÓ- SHAPE,292.0
COPACABANA,ESTÉTICA,PRÓ-SHAPE,40.0
COPACABANA,ESTÉTICA,RADIOFREQUÊNCIA,311.0
COPACABANA,LAVIEEN,LAVIEEN,560.0
COPACABANA,LAVIEEN,PRÓ-SÉRUM,259.0
COPACABANA,MEDICINA ESTÉTICA,BOTOX LIGHT,17.0
COPACABANA,MEDICINA ESTÉTICA,BOTOX POWER,527.0
COPACABANA,MEDICINA ESTÉTICA,CO2 CICATRIZ,70.0
COPACABANA,MEDICINA ESTÉTICA,CO2 COLO,9.0
COPACABANA,MEDICINA ESTÉTICA,CO2 MÃOS,6.0
COPACABANA,MEDICINA ESTÉTICA,CO2 OLHEIRAS,1.0
COPACABANA,MEDICINA ESTÉTICA,CO2 PESCOÇO,2.0
COPACABANA,MEDICINA ESTÉTICA,CO2 ROSTO,36.0
COPACABANA,MEDICINA ESTÉTICA,DERMAROLLER,70.0
COPACABANA,MEDICINA ESTÉTICA,GLÚTEO MAX,10.0
COPACABANA,MEDICINA ESTÉTICA,PEELING QUÍMICO,55.0
COPACABANA,MEDICINA ESTÉTICA,PREENCHIMENTO,141.0
COPACABANA,MEDICINA ESTÉTICA,PRÓ-BELLA,24.0
COPACABANA,MEDICINA ESTÉTICA,PRÓ-LIPO,328.0
COPACABANA,MEDICINA ESTÉTICA,PRÓ-MESO,30.0
COPACABANA,MEDICINA ESTÉTICA,RADIESSE,34.0
COPACABANA,MEDICINA ESTÉTICA,SCULPTRA,345.0
COPACABANA,MEDICINA ESTÉTICA,SECAGEM,38.0
COPACABANA,ULTRAFORMER_III,ULTRAFORMER BRAÇO,4.0
COPACABANA,ULTRAFORMER_III,ULTRAFORMER FULLFACE,239.0
COPACABANA,ULTRAFORMER_III,ULTRAFORMER FULLFACE + PESCOÇO,77.0
COPACABANA,ULTRAFORMER_III,ULTRAFORMER GLUTEO,2.0
COPACABANA,ULTRAFORMER_III,ULTRAFORMER INTERNO COXA,13.0
COPACABANA,ULTRAFORMER_III,ULTRAFORMER MAÇA DO ROSTO,1.0
COPACABANA,ULTRAFORMER_III,ULTRAFORMER OLHOS,19.0
COPACABANA,ULTRAFORMER_III,ULTRAFORMER PAPADA,150.0
COPACABANA,ULTRAFORMER_III,ULTRAFORMER PESCOÇO,12.0
IPIRANGA,ESTÉTICA,CARBOXITERAPIA,302.0
IPIRANGA,ESTÉTICA,CRIOLIPÓLISE,126.0
IPIRANGA,ESTÉTICA,DRENAGEM,1100.0
IPIRANGA,ESTÉTICA,DRENAGEM 30 MIN,121.0
IPIRANGA,ESTÉTICA,HECCUS,278.0
IPIRANGA,ESTÉTICA,HIDRATAÇÃO,10.0
IPIRANGA,ESTÉTICA,LIMPEZA DE PELE,673.0
IPIRANGA,ESTÉTICA,PEELING DE DIAMANTE,6.0
IPIRANGA,ESTÉTICA,PRÓ- SHAPE,78.0
IPIRANGA,ESTÉTICA,PRÓ-SHAPE,48.0
IPIRANGA,ESTÉTICA,RADIOFREQUÊNCIA,226.0
IPIRANGA,LAVIEEN,LAVIEEN,522.0
IPIRANGA,LAVIEEN,PRÓ-SÉRUM,230.0
IPIRANGA,MEDICINA ESTÉTICA,BOTOX LIGHT,25.0
IPIRANGA,MEDICINA ESTÉTICA,BOTOX POWER,415.0
IPIRANGA,MEDICINA ESTÉTICA,DERMAROLLER,38.0
IPIRANGA,MEDICINA ESTÉTICA,GLÚTEO MAX,30.0
IPIRANGA,MEDICINA ESTÉTICA,PEELING QUÍMICO,120.0
IPIRANGA,MEDICINA ESTÉTICA,PREENCHIMENTO,429.0
IPIRANGA,MEDICINA ESTÉTICA,PRÓ-BELLA,28.0
IPIRANGA,MEDICINA ESTÉTICA,PRÓ-LIPO,329.0
IPIRANGA,MEDICINA ESTÉTICA,PRÓ-MESO,49.0
IPIRANGA,MEDICINA ESTÉTICA,RADIESSE,92.0
IPIRANGA,MEDICINA ESTÉTICA,SCULPTRA,162.0
IPIRANGA,MEDICINA ESTÉTICA,SECAGEM,71.0
IPIRANGA,MEDICINA ESTÉTICA,UP BUMBUM,1.0
IPIRANGA,ULTRAFORMER_III,ULTRAFORMER BRAÇO,2.0
IPIRANGA,ULTRAFORMER_III,ULTRAFORMER FULLFACE,202.0
IPIRANGA,ULTRAFORMER_III,ULTRAFORMER FULLFACE + PESCOÇO,7.0
IPIRANGA,ULTRAFORMER_III,ULTRAFORMER FULLFACE + PESCOÇO + PAPADA,1.0
IPIRANGA,ULTRAFORMER_III,ULTRAFORMER MAÇA DO ROSTO,6.0
IPIRANGA,ULTRAFORMER_III,ULTRAFORMER OLHOS,58.0
IPIRANGA,ULTRAFORMER_III,ULTRAFORMER PAPADA,159.0
IPIRANGA,ULTRAFORMER_III,ULTRAFORMER PESCOÇO,37.0
ITAIM,ESTÉTICA,CARBOXITERAPIA,136.0
ITAIM,ESTÉTICA,CRIOLIPÓLISE,30.0
ITAIM,ESTÉTICA,DRENAGEM,548.0
ITAIM,ESTÉTICA,DRENAGEM 30 MIN,12.0
ITAIM,ESTÉTICA,HECCUS,110.0
ITAIM,ESTÉTICA,HIDRATAÇÃO,2.0
ITAIM,ESTÉTICA,LIMPEZA DE PELE,626.0
ITAIM,ESTÉTICA,PEELING DE DIAMANTE,11.0
ITAIM,ESTÉTICA,PRÓ-SHAPE,99.0
ITAIM,ESTÉTICA,RADIOFREQUÊNCIA,120.0
ITAIM,LAVIEEN,LAVIEEN,221.0
ITAIM,LAVIEEN,PRÓ-SÉRUM,82.0
ITAIM,MEDICINA ESTÉTICA,BOTOX LIGHT,10.0
ITAIM,MEDICINA ESTÉTICA,BOTOX POWER,148.0
ITAIM,MEDICINA ESTÉTICA,DERMAROLLER,19.0
ITAIM,MEDICINA ESTÉTICA,ENZIMA MELASMA,3.0
ITAIM,MEDICINA ESTÉTICA,GLÚTEO MAX,5.0
ITAIM,MEDICINA ESTÉTICA,PEELING QUÍMICO,67.0
ITAIM,MEDICINA ESTÉTICA,PREENCHIMENTO,85.0
ITAIM,MEDICINA ESTÉTICA,PRÓ-BELLA,7.0
ITAIM,MEDICINA ESTÉTICA,PRÓ-LIPO,164.0
ITAIM,MEDICINA ESTÉTICA,PRÓ-MESO,30.0
ITAIM,MEDICINA ESTÉTICA,RADIESSE,7.0
ITAIM,MEDICINA ESTÉTICA,SCULPTRA,67.0
ITAIM,MEDICINA ESTÉTICA,SECAGEM,24.0
ITAIM,ULTRAFORMER_III,ULTRAFORMER BRAÇO,1.0
ITAIM,ULTRAFORMER_III,ULTRAFORMER FULLFACE,73.0
ITAIM,ULTRAFORMER_III,ULTRAFORMER FULLFACE + PESCOÇO,3.0
ITAIM,ULTRAFORMER_III,ULTRAFORMER FULLFACE + PESCOÇO + PAPADA,1.0
ITAIM,ULTRAFORMER_III,ULTRAFORMER INTERNO COXA,1.0
ITAIM,ULTRAFORMER_III,ULTRAFORMER MAÇA DO ROSTO,8.0
ITAIM,ULTRAFORMER_III,ULTRAFORMER OLHOS,13.0
ITAIM,ULTRAFORMER_III,ULTRAFORMER PAPADA,47.0
ITAIM,ULTRAFORMER_III,ULTRAFORMER PESCOÇO,6.0
JARDINS,ESTÉTICA,CARBOXITERAPIA,341.0
JARDINS,ESTÉTICA,CRIOLIPÓLISE,284.0
JARDINS,ESTÉTICA,DRENAGEM,1159.0
JARDINS,ESTÉTICA,DRENAGEM 30 MIN,207.0
JARDINS,ESTÉTICA,HECCUS,623.0
JARDINS,ESTÉTICA,HIDRATAÇÃO,9.0
JARDINS,ESTÉTICA,LIMPEZA DE PELE,1591.0
JARDINS,ESTÉTICA,PEELING DE DIAMANTE,21.0
JARDINS,ESTÉTICA,PRÓ- SHAPE,155.0
JARDINS,ESTÉTICA,PRÓ-SHAPE,72.0
JARDINS,ESTÉTICA,RADIOFREQUÊNCIA,245.0
JARDINS,LAVIEEN,LAVIEEN,677.0
JARDINS,LAVIEEN,PRÓ-SÉRUM,382.0
JARDINS,MEDICINA ESTÉTICA,BOTOX LIGHT,135.0
JARDINS,MEDICINA ESTÉTICA,BOTOX POWER,943.0
JARDINS,MEDICINA ESTÉTICA,CO2 CICATRIZ,38.0
JARDINS,MEDICINA ESTÉTICA,CO2 COLO,8.0
JARDINS,MEDICINA ESTÉTICA,CO2 MÃOS,3.0
JARDINS,MEDICINA ESTÉTICA,CO2 OLHEIRAS,10.0
JARDINS,MEDICINA ESTÉTICA,CO2 PESCOÇO,1.0
JARDINS,MEDICINA ESTÉTICA,CO2 ROSTO,99.0
JARDINS,MEDICINA ESTÉTICA,DERMAROLLER,63.0
JARDINS,MEDICINA ESTÉTICA,ENZIMA MELASMA,2.0
JARDINS,MEDICINA ESTÉTICA,GLÚTEO MAX,10.0
JARDINS,MEDICINA ESTÉTICA,PEELING QUÍMICO,188.0
JARDINS,MEDICINA ESTÉTICA,PREENCHIMENTO,1022.0
JARDINS,MEDICINA ESTÉTICA,PRÓ-BELLA,11.0
JARDINS,MEDICINA ESTÉTICA,PRÓ-LIPO,714.0
JARDINS,MEDICINA ESTÉTICA,PRÓ-MESO,42.0
JARDINS,MEDICINA ESTÉTICA,RADIESSE,180.0
JARDINS,MEDICINA ESTÉTICA,SCULPTRA,758.0
JARDINS,MEDICINA ESTÉTICA,SECAGEM,156.0
JARDINS,MEDICINA ESTÉTICA,UP BUMBUM,3.0
JARDINS,ULTRAFORMER_III,ULTRAFORMER BRAÇO,1.0
JARDINS,ULTRAFORMER_III,ULTRAFORMER FULLFACE,401.0
JARDINS,ULTRAFORMER_III,ULTRAFORMER FULLFACE + PESCOÇO,15.0
JARDINS,ULTRAFORMER_III,ULTRAFORMER FULLFACE + PESCOÇO + PAPADA,1.0
JARDINS,ULTRAFORMER_III,ULTRAFORMER GLUTEO,1.0
JARDINS,ULTRAFORMER_III,ULTRAFORMER INTERNO COXA,1.0
JARDINS,ULTRAFORMER_III,ULTRAFORMER MAÇA DO ROSTO,55.0
JARDINS,ULTRAFORMER_III,ULTRAFORMER OLHOS,160.0
JARDINS,ULTRAFORMER_III,ULTRAFORMER PAPADA,378.0
JARDINS,ULTRAFORMER_III,ULTRAFORMER PESCOÇO,153.0
LAPA,ESTÉTICA,CARBOXITERAPIA,450.0
LAPA,ESTÉTICA,CRIOLIPÓLISE,198.0
LAPA,ESTÉTICA,DRENAGEM,1250.0
LAPA,ESTÉTICA,DRENAGEM 30 MIN,217.0
LAPA,ESTÉTICA,HECCUS,330.0
LAPA,ESTÉTICA,HIDRATAÇÃO,29.0
LAPA,ESTÉTICA,LIMPEZA DE PELE,1489.0
LAPA,ESTÉTICA,PEELING DE DIAMANTE,13.0
LAPA,ESTÉTICA,PRÓ- SHAPE,118.0
LAPA,ESTÉTICA,PRÓ-SHAPE,35.0
LAPA,ESTÉTICA,RADIOFREQUÊNCIA,122.0
LAPA,LAVIEEN,LAVIEEN,445.0
LAPA,LAVIEEN,PRÓ-SÉRUM,112.0
LAPA,MEDICINA ESTÉTICA,BOTOX LIGHT,38.0
LAPA,MEDICINA ESTÉTICA,BOTOX POWER,366.0
LAPA,MEDICINA ESTÉTICA,CO2 CICATRIZ,3.0
LAPA,MEDICINA ESTÉTICA,CO2 COLO,2.0
LAPA,MEDICINA ESTÉTICA,DERMAROLLER,100.0
LAPA,MEDICINA ESTÉTICA,ENZIMA MELASMA,40.0
LAPA,MEDICINA ESTÉTICA,GLÚTEO MAX,20.0
LAPA,MEDICINA ESTÉTICA,PEELING QUÍMICO,163.0
LAPA,MEDICINA ESTÉTICA,PREENCHIMENTO,390.0
LAPA,MEDICINA ESTÉTICA,PRÓ-BELLA,30.0
LAPA,MEDICINA ESTÉTICA,PRÓ-LIPO,355.0
LAPA,MEDICINA ESTÉTICA,PRÓ-MESO,37.0
LAPA,MEDICINA ESTÉTICA,RADIESSE,23.0
LAPA,MEDICINA ESTÉTICA,SCULPTRA,159.0
LAPA,MEDICINA ESTÉTICA,SECAGEM,118.0
LAPA,ULTRAFORMER_III,ULTRAFORMER BRAÇO,2.0
LAPA,ULTRAFORMER_III,ULTRAFORMER FULLFACE,124.0
LAPA,ULTRAFORMER_III,ULTRAFORMER FULLFACE + PESCOÇO,9.0
LAPA,ULTRAFORMER_III,ULTRAFORMER FULLFACE + PESCOÇO + PAPADA,3.0
LAPA,ULTRAFORMER_III,ULTRAFORMER MAÇA DO ROSTO,11.0
LAPA,ULTRAFORMER_III,ULTRAFORMER OLHOS,45.0
LAPA,ULTRAFORMER_III,ULTRAFORMER PAPADA,82.0
LAPA,ULTRAFORMER_III,ULTRAFORMER PESCOÇO,11.0
LONDRINA,ESTÉTICA,CARBOXITERAPIA,313.0
LONDRINA,ESTÉTICA,CRIOLIPÓLISE,59.0
LONDRINA,ESTÉTICA,DRENAGEM,284.0
LONDRINA,ESTÉTICA,DRENAGEM 30 MIN,41.0
LONDRINA,ESTÉTICA,HECCUS,115.0
LONDRINA,ESTÉTICA,HIDRATAÇÃO,37.0
LONDRINA,ESTÉTICA,LIMPEZA DE PELE,747.0
LONDRINA,ESTÉTICA,PEELING DE DIAMANTE,24.0
LONDRINA,ESTÉTICA,PRÓ- SHAPE,9.0
LONDRINA,ESTÉTICA,PRÓ-SHAPE,165.0
LONDRINA,ESTÉTICA,RADIOFREQUÊNCIA,120.0
LONDRINA,LAVIEEN,LAVIEEN,436.0
LONDRINA,LAVIEEN,PRÓ-SÉRUM,112.0
LONDRINA,MEDICINA ESTÉTICA,BOTOX LIGHT,29.0
LONDRINA,MEDICINA ESTÉTICA,BOTOX POWER,439.0
LONDRINA,MEDICINA ESTÉTICA,CO2 PESCOÇO,2.0
LONDRINA,MEDICINA ESTÉTICA,CO2 ROSTO,3.0
LONDRINA,MEDICINA ESTÉTICA,DERMAROLLER,6.0
LONDRINA,MEDICINA ESTÉTICA,ENZIMA MELASMA,1.0
LONDRINA,MEDICINA ESTÉTICA,GLÚTEO MAX,12.0
LONDRINA,MEDICINA ESTÉTICA,PEELING QUÍMICO,12.0
LONDRINA,MEDICINA ESTÉTICA,PREENCHIMENTO,222.0
LONDRINA,MEDICINA ESTÉTICA,PRÓ-BELLA,3.0
LONDRINA,MEDICINA ESTÉTICA,PRÓ-LIPO,70.0
LONDRINA,MEDICINA ESTÉTICA,PRÓ-MESO,6.0
LONDRINA,MEDICINA ESTÉTICA,RADIESSE,13.0
LONDRINA,MEDICINA ESTÉTICA,SCULPTRA,89.0
LONDRINA,MEDICINA ESTÉTICA,SECAGEM,63.0
LONDRINA,ULTRAFORMER_III,ULTRAFORMER BRAÇO,1.0
LONDRINA,ULTRAFORMER_III,ULTRAFORMER FULLFACE,124.0
LONDRINA,ULTRAFORMER_III,ULTRAFORMER FULLFACE + PESCOÇO,28.0
LONDRINA,ULTRAFORMER_III,ULTRAFORMER INTERNO COXA,1.0
LONDRINA,ULTRAFORMER_III,ULTRAFORMER MAÇA DO ROSTO,29.0
LONDRINA,ULTRAFORMER_III,ULTRAFORMER OLHOS,15.0
LONDRINA,ULTRAFORMER_III,ULTRAFORMER PAPADA,118.0
LONDRINA,ULTRAFORMER_III,ULTRAFORMER PESCOÇO,9.0
MOEMA,ESTÉTICA,CARBOXITERAPIA,299.0
MOEMA,ESTÉTICA,CRIOLIPÓLISE,169.0
MOEMA,ESTÉTICA,DRENAGEM,664.0
MOEMA,ESTÉTICA,DRENAGEM 30 MIN,145.0
MOEMA,ESTÉTICA,HECCUS,524.0
MOEMA,ESTÉTICA,HIDRATAÇÃO,1.0
MOEMA,ESTÉTICA,LIMPEZA DE PELE,804.0
MOEMA,ESTÉTICA,PEELING DE DIAMANTE,15.0
MOEMA,ESTÉTICA,PRÓ- SHAPE,258.0
MOEMA,ESTÉTICA,PRÓ-SHAPE,45.0
MOEMA,ESTÉTICA,RADIOFREQUÊNCIA,183.0
MOEMA,LAVIEEN,LAVIEEN,324.0
MOEMA,LAVIEEN,PRÓ-SÉRUM,335.0
MOEMA,MEDICINA ESTÉTICA,BOTOX LIGHT,75.0
MOEMA,MEDICINA ESTÉTICA,BOTOX POWER,531.0
MOEMA,MEDICINA ESTÉTICA,CO2 CICATRIZ,3.0
MOEMA,MEDICINA ESTÉTICA,CO2 OLHEIRAS,1.0
MOEMA,MEDICINA ESTÉTICA,CO2 ROSTO,9.0
MOEMA,MEDICINA ESTÉTICA,DERMAROLLER,72.0
MOEMA,MEDICINA ESTÉTICA,GLÚTEO MAX,15.0
MOEMA,MEDICINA ESTÉTICA,PEELING QUÍMICO,172.0
MOEMA,MEDICINA ESTÉTICA,PREENCHIMENTO,675.0
MOEMA,MEDICINA ESTÉTICA,PRÓ-BELLA,32.0
MOEMA,MEDICINA ESTÉTICA,PRÓ-FIRM,2.0
MOEMA,MEDICINA ESTÉTICA,PRÓ-LIPO,315.0
MOEMA,MEDICINA ESTÉTICA,PRÓ-MESO,33.0
MOEMA,MEDICINA ESTÉTICA,RADIESSE,54.0
MOEMA,MEDICINA ESTÉTICA,SCULPTRA,315.0
MOEMA,MEDICINA ESTÉTICA,SECAGEM,76.0
MOEMA,MEDICINA ESTÉTICA,UP BUMBUM,3.0
MOEMA,ULTRAFORMER_III,ULTRAFORMER BRAÇO,1.0
MOEMA,ULTRAFORMER_III,ULTRAFORMER FULLFACE,298.0
MOEMA,ULTRAFORMER_III,ULTRAFORMER FULLFACE + PESCOÇO,45.0
MOEMA,ULTRAFORMER_III,ULTRAFORMER FULLFACE + PESCOÇO + PAPADA,3.0
MOEMA,ULTRAFORMER_III,ULTRAFORMER GLUTEO,2.0
MOEMA,ULTRAFORMER_III,ULTRAFORMER INTERNO COXA,17.0
MOEMA,ULTRAFORMER_III,ULTRAFORMER MAÇA DO ROSTO,8.0
MOEMA,ULTRAFORMER_III,ULTRAFORMER OLHOS,67.0
MOEMA,ULTRAFORMER_III,ULTRAFORMER PAPADA,179.0
MOEMA,ULTRAFORMER_III,ULTRAFORMER PESCOÇO,50.0
MOOCA,ESTÉTICA,CARBOXITERAPIA,175.0
MOOCA,ESTÉTICA,CRIOLIPÓLISE,71.0
MOOCA,ESTÉTICA,DRENAGEM,448.0
MOOCA,ESTÉTICA,DRENAGEM 30 MIN,63.0
MOOCA,ESTÉTICA,HECCUS,241.0
MOOCA,ESTÉTICA,HIDRATAÇÃO,5.0
MOOCA,ESTÉTICA,LIMPEZA DE PELE,747.0
MOOCA,ESTÉTICA,PEELING DE DIAMANTE,8.0
MOOCA,ESTÉTICA,PRÓ- SHAPE,40.0
MOOCA,ESTÉTICA,PRÓ-SHAPE,81.0
MOOCA,ESTÉTICA,RADIOFREQUÊNCIA,75.0
MOOCA,LAVIEEN,LAVIEEN,337.0
MOOCA,LAVIEEN,PRÓ-SÉRUM,137.0
MOOCA,MEDICINA ESTÉTICA,BOTOX LIGHT,11.0
MOOCA,MEDICINA ESTÉTICA,BOTOX POWER,106.0
MOOCA,MEDICINA ESTÉTICA,DERMAROLLER,20.0
MOOCA,MEDICINA ESTÉTICA,ENZIMA MELASMA,3.0
MOOCA,MEDICINA ESTÉTICA,GLÚTEO MAX,10.0
MOOCA,MEDICINA ESTÉTICA,PEELING QUÍMICO,82.0
MOOCA,MEDICINA ESTÉTICA,PREENCHIMENTO,159.0
MOOCA,MEDICINA ESTÉTICA,PRÓ-BELLA,53.0
MOOCA,MEDICINA ESTÉTICA,PRÓ-LIPO,234.0
MOOCA,MEDICINA ESTÉTICA,PRÓ-MESO,44.0
MOOCA,MEDICINA ESTÉTICA,RADIESSE,13.0
MOOCA,MEDICINA ESTÉTICA,SCULPTRA,93.0
MOOCA,MEDICINA ESTÉTICA,SECAGEM,47.0
MOOCA,ULTRAFORMER_III,ULTRAFORMER BRAÇO,1.0
MOOCA,ULTRAFORMER_III,ULTRAFORMER FULLFACE,87.0
MOOCA,ULTRAFORMER_III,ULTRAFORMER FULLFACE + PESCOÇO,5.0
MOOCA,ULTRAFORMER_III,ULTRAFORMER GLUTEO,1.0
