Unidade do agendamento,Grupo,Mês Atendimento,Procedimentos Padronizados,Custo Direto
ALPHAVILLE,MEDICINA ESTÉTICA,Junho,SCULPTRA,5170.900000000001
ALPHAVILLE,MEDICINA ESTÉTICA,Maio,BOTOX LIGHT,162.46
ALPHAVILLE,MEDICINA ESTÉTICA,Maio,BOTOX POWER,2154.74
ALPHAVILLE,MEDICINA ESTÉTICA,Maio,PEELING QUÍMICO,188.04
ALPHAVILLE,MEDICINA ESTÉTICA,Maio,PREENCHIMENTO,893.4000000000001
ALPHAVILLE,MEDICINA ESTÉTICA,Maio,PRÓ-LIPO,207.54999999999998
ALPHAVILLE,MEDICINA ESTÉTICA,Maio,PRÓ-MESO,45.82
ALPHAVILLE,MEDICINA ESTÉTICA,Maio,RETOQUE,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Maio,SCULPTRA,5170.900000000001
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,BOTOX LIGHT,324.92
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,BOTOX POWER,2770.38
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,PEELING QUÍMICO,31.34
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,PREENCHIMENTO,893.4000000000001
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,PRÓ-BELLA,67.1
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,PRÓ-LIPO,290.57
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,RADIESSE,1542.36
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,RETOQUE,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,SCULPTRA,6205.08
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,SECAGEM,45.0
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,BOTOX LIGHT,649.84
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,BOTOX POWER,3386.02
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,ENZIMA MELASMA,51.12
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,PEELING QUÍMICO,31.34
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,PREENCHIMENTO,1786.8000000000002
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,PRÓ-BELLA,67.1
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,PRÓ-LIPO,664.16
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,RETOQUE,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,SECAGEM,22.5
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,BOTOX LIGHT,812.3000000000001
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,BOTOX POWER,4617.3
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,PEELING QUÍMICO,31.34
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,PREENCHIMENTO,893.4000000000001
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,PRÓ-LIPO,498.12
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,RADIESSE,771.18
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,RETOQUE,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,SCULPTRA,7239.26
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,SECAGEM,22.5
ALPHAVILLE,ULTRAFORMER_III,Agosto,ULTRAFORMER FULLFACE,8827.44
ALPHAVILLE,ULTRAFORMER_III,Agosto,ULTRAFORMER MAÇA DO ROSTO,420.62
ALPHAVILLE,ULTRAFORMER_III,Agosto,ULTRAFORMER OLHOS,243.12
ALPHAVILLE,ULTRAFORMER_III,Agosto,ULTRAFORMER PAPADA,506.24
ALPHAVILLE,ULTRAFORMER_III,Agosto,ULTRAFORMER PESCOÇO,463.12
ALPHAVILLE,ULTRAFORMER_III,Julho,ULTRAFORMER FULLFACE,3678.1
ALPHAVILLE,ULTRAFORMER_III,Julho,ULTRAFORMER MAÇA DO ROSTO,841.24
ALPHAVILLE,ULTRAFORMER_III,Julho,ULTRAFORMER OLHOS,243.12
ALPHAVILLE,ULTRAFORMER_III,Julho,ULTRAFORMER PAPADA,759.36
ALPHAVILLE,ULTRAFORMER_III,Junho,ULTRAFORMER FULLFACE,5884.96
ALPHAVILLE,ULTRAFORMER_III,Junho,ULTRAFORMER PAPADA,253.12
ALPHAVILLE,ULTRAFORMER_III,Junho,ULTRAFORMER PESCOÇO,463.12
ALPHAVILLE,ULTRAFORMER_III,Maio,ULTRAFORMER FULLFACE,5149.34
ALPHAVILLE,ULTRAFORMER_III,Maio,ULTRAFORMER PAPADA,253.12
ALPHAVILLE,ULTRAFORMER_III,Novembro,ULTRAFORMER FULLFACE,9563.06
ALPHAVILLE,ULTRAFORMER_III,Novembro,ULTRAFORMER FULLFACE + PESCOÇO,1019.08
ALPHAVILLE,ULTRAFORMER_III,Novembro,ULTRAFORMER MAÇA DO ROSTO,420.62
ALPHAVILLE,ULTRAFORMER_III,Novembro,ULTRAFORMER OLHOS,486.24
ALPHAVILLE,ULTRAFORMER_III,Novembro,ULTRAFORMER PAPADA,1012.48
ALPHAVILLE,ULTRAFORMER_III,Novembro,ULTRAFORMER PESCOÇO,463.12
ALPHAVILLE,ULTRAFORMER_III,Outubro,ULTRAFORMER FULLFACE,6620.58
ALPHAVILLE,ULTRAFORMER_III,Outubro,ULTRAFORMER MAÇA DO ROSTO,841.24
ALPHAVILLE,ULTRAFORMER_III,Outubro,ULTRAFORMER OLHOS,972.48
ALPHAVILLE,ULTRAFORMER_III,Outubro,ULTRAFORMER PAPADA,1518.72
ALPHAVILLE,ULTRAFORMER_III,Setembro,ULTRAFORMER FULLFACE,7356.2
ALPHAVILLE,ULTRAFORMER_III,Setembro,ULTRAFORMER INTERNO COXA,1343.12
ALPHAVILLE,ULTRAFORMER_III,Setembro,ULTRAFORMER MAÇA DO ROSTO,1682.48
ALPHAVILLE,ULTRAFORMER_III,Setembro,ULTRAFORMER OLHOS,243.12
ALPHAVILLE,ULTRAFORMER_III,Setembro,ULTRAFORMER PAPADA,1771.8400000000001
ALPHAVILLE,ULTRAFORMER_III,Setembro,ULTRAFORMER PESCOÇO,926.24
BELO HORIZONTE,ESTÉTICA,Abril,CARBOXITERAPIA,192.96
BELO HORIZONTE,ESTÉTICA,Abril,CRIOLIPÓLISE,825.36
BELO HORIZONTE,ESTÉTICA,Abril,DRENAGEM,1965.88
BELO HORIZONTE,ESTÉTICA,Abril,HECCUS,151.20000000000002
BELO HORIZONTE,ESTÉTICA,Abril,HIDRATAÇÃO,46.32
BELO HORIZONTE,ESTÉTICA,Abril,LIMPEZA DE PELE,2662.58
BELO HORIZONTE,ESTÉTICA,Abril,PEELING DE DIAMANTE,1406.53
BELO HORIZONTE,ESTÉTICA,Abril,PRÓ- SHAPE,238.20000000000002
BELO HORIZONTE,ESTÉTICA,Abril,RADIOFREQUÊNCIA,487.04999999999995
BELO HORIZONTE,ESTÉTICA,Fevereiro,CARBOXITERAPIA,48.24
BELO HORIZONTE,ESTÉTICA,Fevereiro,CRIOLIPÓLISE,722.19
BELO HORIZONTE,ESTÉTICA,Fevereiro,DRENAGEM,1329.86
BELO HORIZONTE,ESTÉTICA,Fevereiro,HECCUS,108.0
BELO HORIZONTE,ESTÉTICA,Fevereiro,HIDRATAÇÃO,208.44
BELO HORIZONTE,ESTÉTICA,Fevereiro,LIMPEZA DE PELE,2145.96
BELO HORIZONTE,ESTÉTICA,Fevereiro,PEELING DE DIAMANTE,981.3000000000001
BELO HORIZONTE,ESTÉTICA,Fevereiro,PRÓ- SHAPE,79.4
BELO HORIZONTE,ESTÉTICA,Fevereiro,RADIOFREQUÊNCIA,372.45
BELO HORIZONTE,ESTÉTICA,Maio,CARBOXITERAPIA,192.96
BELO HORIZONTE,ESTÉTICA,Maio,CRIOLIPÓLISE,825.36
BELO HORIZONTE,ESTÉTICA,Maio,DRENAGEM,954.03
BELO HORIZONTE,ESTÉTICA,Maio,HECCUS,151.20000000000002
BELO HORIZONTE,ESTÉTICA,Maio,HIDRATAÇÃO,138.96
BELO HORIZONTE,ESTÉTICA,Maio,LIMPEZA DE PELE,2106.2200000000003
BELO HORIZONTE,ESTÉTICA,Maio,PEELING DE DIAMANTE,785.04
BELO HORIZONTE,ESTÉTICA,Maio,PRÓ- SHAPE,39.7
BELO HORIZONTE,ESTÉTICA,Maio,RADIOFREQUÊNCIA,286.5
BELO HORIZONTE,ESTÉTICA,Março,CARBOXITERAPIA,192.96
BELO HORIZONTE,ESTÉTICA,Março,CRIOLIPÓLISE,412.68
BELO HORIZONTE,ESTÉTICA,Março,DRENAGEM,1590.05
BELO HORIZONTE,ESTÉTICA,Março,HECCUS,367.20000000000005
BELO HORIZONTE,ESTÉTICA,Março,HIDRATAÇÃO,277.92
BELO HORIZONTE,ESTÉTICA,Março,LIMPEZA DE PELE,2543.36
BELO HORIZONTE,ESTÉTICA,Março,PEELING DE DIAMANTE,1341.1100000000001
BELO HORIZONTE,ESTÉTICA,Março,PRÓ- SHAPE,158.8
BELO HORIZONTE,ESTÉTICA,Março,RADIOFREQUÊNCIA,343.79999999999995
BELO HORIZONTE,LAVIEEN,Abril,LAVIEEN,4160.25
BELO HORIZONTE,LAVIEEN,Fevereiro,LAVIEEN,7159.5
BELO HORIZONTE,LAVIEEN,Maio,LAVIEEN,3966.75
BELO HORIZONTE,LAVIEEN,Março,LAVIEEN,6482.25
BELO HORIZONTE,MEDICINA ESTÉTICA,Abril,BOTOX POWER,6464.22
BELO HORIZONTE,MEDICINA ESTÉTICA,Abril,CO2 ROSTO,1993.92
BELO HORIZONTE,MEDICINA ESTÉTICA,Abril,PEELING QUÍMICO,62.68
BELO HORIZONTE,MEDICINA ESTÉTICA,Abril,PREENCHIMENTO,3871.4
BELO HORIZONTE,MEDICINA ESTÉTICA,Abril,PRÓ-BELLA,201.29999999999998
BELO HORIZONTE,MEDICINA ESTÉTICA,Abril,PRÓ-LIPO,871.7099999999999
BELO HORIZONTE,MEDICINA ESTÉTICA,Abril,PRÓ-MESO,45.82
BELO HORIZONTE,MEDICINA ESTÉTICA,Abril,RETOQUE,0.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Abril,SCULPTRA,11375.980000000001
BELO HORIZONTE,MEDICINA ESTÉTICA,Abril,SECAGEM,22.5
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,BOTOX LIGHT,649.84
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,BOTOX POWER,5540.76
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,CO2 CICATRIZ,189.24
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,PEELING QUÍMICO,125.36
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,PREENCHIMENTO,2978.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,PRÓ-LIPO,1162.28
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,PRÓ-MESO,137.46
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,RADIESSE,3084.72
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,RETOQUE,0.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,SCULPTRA,11375.980000000001
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,SECAGEM,45.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,BOTOX POWER,2770.38
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,DERMAROLLER,115.48
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,PEELING QUÍMICO,31.34
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,PREENCHIMENTO,2978.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,PRÓ-BELLA,268.4
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,PRÓ-LIPO,539.63
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,RETOQUE,0.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,SCULPTRA,5170.900000000001
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,SECAGEM,22.5
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,BOTOX LIGHT,649.84
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,BOTOX POWER,4617.3
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,PEELING QUÍMICO,188.04
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,PREENCHIMENTO,3573.6000000000004
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,PRÓ-LIPO,1037.75
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,PRÓ-MESO,137.46
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,RETOQUE,0.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,SCULPTRA,5170.900000000001
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,SECAGEM,67.5
BELO HORIZONTE,ULTRAFORMER_III,Abril,ULTRAFORMER FULLFACE,6620.58
BELO HORIZONTE,ULTRAFORMER_III,Abril,ULTRAFORMER FULLFACE + PESCOÇO,2038.16
BELO HORIZONTE,ULTRAFORMER_III,Abril,ULTRAFORMER INTERNO COXA,1343.12
BELO HORIZONTE,ULTRAFORMER_III,Abril,ULTRAFORMER PAPADA,759.36
BELO HORIZONTE,ULTRAFORMER_III,Fevereiro,ULTRAFORMER FULLFACE,4413.72
BELO HORIZONTE,ULTRAFORMER_III,Fevereiro,ULTRAFORMER OLHOS,243.12
BELO HORIZONTE,ULTRAFORMER_III,Fevereiro,ULTRAFORMER PAPADA,759.36
BELO HORIZONTE,ULTRAFORMER_III,Maio,ULTRAFORMER FULLFACE,3678.1
BELO HORIZONTE,ULTRAFORMER_III,Maio,ULTRAFORMER INTERNO COXA,2686.24
BELO HORIZONTE,ULTRAFORMER_III,Maio,ULTRAFORMER PAPADA,759.36
BELO HORIZONTE,ULTRAFORMER_III,Maio,ULTRAFORMER PESCOÇO,463.12
BELO HORIZONTE,ULTRAFORMER_III,Março,ULTRAFORMER FULLFACE,4413.72
BELO HORIZONTE,ULTRAFORMER_III,Março,ULTRAFORMER FULLFACE + PESCOÇO,2038.16
BELO HORIZONTE,ULTRAFORMER_III,Março,ULTRAFORMER PAPADA,506.24
CAMPINAS,ESTÉTICA,Abril,CARBOXITERAPIA,265.32
CAMPINAS,ESTÉTICA,Abril,DRENAGEM,2977.73
CAMPINAS,ESTÉTICA,Abril,HECCUS,194.4
CAMPINAS,ESTÉTICA,Abril,HIDRATAÇÃO,162.12
CAMPINAS,ESTÉTICA,Abril,LIMPEZA DE PELE,4013.7400000000002
CAMPINAS,ESTÉTICA,Abril,PEELING DE DIAMANTE,2256.9900000000002
CAMPINAS,ESTÉTICA,Abril,PRÓ- SHAPE,794.0
CAMPINAS,ESTÉTICA,Abril,RADIOFREQUÊNCIA,229.2
CAMPINAS,ESTÉTICA,Agosto,CARBOXITERAPIA,289.44
CAMPINAS,ESTÉTICA,Agosto,CRIOLIPÓLISE,103.17
CAMPINAS,ESTÉTICA,Agosto,DRENAGEM,3498.11
CAMPINAS,ESTÉTICA,Agosto,HECCUS,194.4
CAMPINAS,ESTÉTICA,Agosto,HIDRATAÇÃO,277.92
CAMPINAS,ESTÉTICA,Agosto,LIMPEZA DE PELE,4132.96
CAMPINAS,ESTÉTICA,Agosto,PEELING DE DIAMANTE,4186.88
CAMPINAS,ESTÉTICA,Agosto,PRÓ- SHAPE,79.4
CAMPINAS,ESTÉTICA,Agosto,RADIOFREQUÊNCIA,343.79999999999995
CAMPINAS,ESTÉTICA,Fevereiro,CARBOXITERAPIA,506.52000000000004
CAMPINAS,ESTÉTICA,Fevereiro,CRIOLIPÓLISE,206.34
CAMPINAS,ESTÉTICA,Fevereiro,DRENAGEM,2081.52
CAMPINAS,ESTÉTICA,Fevereiro,HECCUS,648.0
CAMPINAS,ESTÉTICA,Fevereiro,HIDRATAÇÃO,717.96
CAMPINAS,ESTÉTICA,Fevereiro,LIMPEZA DE PELE,4252.18
CAMPINAS,ESTÉTICA,Fevereiro,PEELING DE DIAMANTE,1341.1100000000001
CAMPINAS,ESTÉTICA,Fevereiro,PRÓ- SHAPE,595.5
CAMPINAS,ESTÉTICA,Fevereiro,RADIOFREQUÊNCIA,315.15
CAMPINAS,ESTÉTICA,Julho,CARBOXITERAPIA,168.84
CAMPINAS,ESTÉTICA,Julho,CRIOLIPÓLISE,412.68
CAMPINAS,ESTÉTICA,Julho,DRENAGEM,2919.91
CAMPINAS,ESTÉTICA,Julho,HECCUS,259.20000000000005
CAMPINAS,ESTÉTICA,Julho,HIDRATAÇÃO,162.12
CAMPINAS,ESTÉTICA,Julho,LIMPEZA DE PELE,3417.6400000000003
CAMPINAS,ESTÉTICA,Julho,PEELING DE DIAMANTE,3630.81
CAMPINAS,ESTÉTICA,Julho,PRÓ- SHAPE,198.5
CAMPINAS,ESTÉTICA,Julho,RADIOFREQUÊNCIA,257.84999999999997
CAMPINAS,ESTÉTICA,Junho,CARBOXITERAPIA,265.32
CAMPINAS,ESTÉTICA,Junho,CRIOLIPÓLISE,1031.7
CAMPINAS,ESTÉTICA,Junho,DRENAGEM,3209.01
CAMPINAS,ESTÉTICA,Junho,HECCUS,475.20000000000005
CAMPINAS,ESTÉTICA,Junho,HIDRATAÇÃO,46.32
CAMPINAS,ESTÉTICA,Junho,LIMPEZA DE PELE,3338.1600000000003
CAMPINAS,ESTÉTICA,Junho,PEELING DE DIAMANTE,2289.7000000000003
CAMPINAS,ESTÉTICA,Junho,PRÓ- SHAPE,277.90000000000003
CAMPINAS,ESTÉTICA,Junho,RADIOFREQUÊNCIA,630.3
CAMPINAS,ESTÉTICA,Maio,CARBOXITERAPIA,144.72
CAMPINAS,ESTÉTICA,Maio,CRIOLIPÓLISE,103.17
CAMPINAS,ESTÉTICA,Maio,DRENAGEM,2919.91
CAMPINAS,ESTÉTICA,Maio,HECCUS,259.20000000000005
CAMPINAS,ESTÉTICA,Maio,HIDRATAÇÃO,208.44
CAMPINAS,ESTÉTICA,Maio,LIMPEZA DE PELE,4053.48
CAMPINAS,ESTÉTICA,Maio,PEELING DE DIAMANTE,2289.7000000000003
CAMPINAS,ESTÉTICA,Maio,PRÓ- SHAPE,714.6
CAMPINAS,ESTÉTICA,Maio,RADIOFREQUÊNCIA,315.15
CAMPINAS,ESTÉTICA,Março,CARBOXITERAPIA,241.20000000000002
CAMPINAS,ESTÉTICA,Março,CRIOLIPÓLISE,619.02
CAMPINAS,ESTÉTICA,Março,DRENAGEM,2370.62
CAMPINAS,ESTÉTICA,Março,HECCUS,518.4000000000001
CAMPINAS,ESTÉTICA,Março,HIDRATAÇÃO,370.56
CAMPINAS,ESTÉTICA,Março,LIMPEZA DE PELE,4371.400000000001
CAMPINAS,ESTÉTICA,Março,PEELING DE DIAMANTE,2060.73
CAMPINAS,ESTÉTICA,Março,PRÓ- SHAPE,397.0
CAMPINAS,ESTÉTICA,Março,RADIOFREQUÊNCIA,229.2
CAMPINAS,ESTÉTICA,Novembro,CARBOXITERAPIA,48.24
CAMPINAS,ESTÉTICA,Novembro,CRIOLIPÓLISE,825.36
CAMPINAS,ESTÉTICA,Novembro,DRENAGEM,1705.69
CAMPINAS,ESTÉTICA,Novembro,HECCUS,86.4
CAMPINAS,ESTÉTICA,Novembro,HIDRATAÇÃO,185.28
CAMPINAS,ESTÉTICA,Novembro,LIMPEZA DE PELE,1390.9
CAMPINAS,ESTÉTICA,Novembro,PEELING DE DIAMANTE,1602.79
CAMPINAS,ESTÉTICA,Novembro,PRÓ- SHAPE,516.1
CAMPINAS,ESTÉTICA,Novembro,RADIOFREQUÊNCIA,28.65
CAMPINAS,ESTÉTICA,Outubro,CARBOXITERAPIA,168.84
CAMPINAS,ESTÉTICA,Outubro,CRIOLIPÓLISE,103.17
