Unidade do agendamento,Grupo,Mês Atendimento,Procedimentos Padronizados,Duração (min)
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,PEELING QUÍMICO,30
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,PREENCHIMENTO,180
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,PRÓ-BELLA,30
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,PRÓ-LIPO,240
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,RETOQUE,210
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,SECAGEM,30
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,BOTOX LIGHT,150
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,BOTOX POWER,450
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,PEELING QUÍMICO,30
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,PREENCHIMENTO,90
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,PRÓ-LIPO,180
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,RADIESSE,30
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,RETOQUE,150
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,SCULPTRA,210
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,SECAGEM,30
ALPHAVILLE,ULTRAFORMER_III,Agosto,ULTRAFORMER FULLFACE,720
ALPHAVILLE,ULTRAFORMER_III,Agosto,ULTRAFORMER MAÇA DO ROSTO,45
ALPHAVILLE,ULTRAFORMER_III,Agosto,ULTRAFORMER OLHOS,30
ALPHAVILLE,ULTRAFORMER_III,Agosto,ULTRAFORMER PAPADA,60
ALPHAVILLE,ULTRAFORMER_III,Agosto,ULTRAFORMER PESCOÇO,40
ALPHAVILLE,ULTRAFORMER_III,Julho,ULTRAFORMER FULLFACE,300
ALPHAVILLE,ULTRAFORMER_III,Julho,ULTRAFORMER MAÇA DO ROSTO,90
ALPHAVILLE,ULTRAFORMER_III,Julho,ULTRAFORMER OLHOS,30
ALPHAVILLE,ULTRAFORMER_III,Julho,ULTRAFORMER PAPADA,90
ALPHAVILLE,ULTRAFORMER_III,Junho,ULTRAFORMER FULLFACE,480
ALPHAVILLE,ULTRAFORMER_III,Junho,ULTRAFORMER PAPADA,30
ALPHAVILLE,ULTRAFORMER_III,Junho,ULTRAFORMER PESCOÇO,40
ALPHAVILLE,ULTRAFORMER_III,Maio,ULTRAFORMER FULLFACE,420
ALPHAVILLE,ULTRAFORMER_III,Maio,ULTRAFORMER PAPADA,30
ALPHAVILLE,ULTRAFORMER_III,Novembro,ULTRAFORMER FULLFACE,780
ALPHAVILLE,ULTRAFORMER_III,Novembro,ULTRAFORMER FULLFACE + PESCOÇO,90
ALPHAVILLE,ULTRAFORMER_III,Novembro,ULTRAFORMER MAÇA DO ROSTO,45
ALPHAVILLE,ULTRAFORMER_III,Novembro,ULTRAFORMER OLHOS,60
ALPHAVILLE,ULTRAFORMER_III,Novembro,ULTRAFORMER PAPADA,120
ALPHAVILLE,ULTRAFORMER_III,Novembro,ULTRAFORMER PESCOÇO,40
ALPHAVILLE,ULTRAFORMER_III,Outubro,ULTRAFORMER FULLFACE,540
ALPHAVILLE,ULTRAFORMER_III,Outubro,ULTRAFORMER MAÇA DO ROSTO,90
ALPHAVILLE,ULTRAFORMER_III,Outubro,ULTRAFORMER OLHOS,120
ALPHAVILLE,ULTRAFORMER_III,Outubro,ULTRAFORMER PAPADA,180
ALPHAVILLE,ULTRAFORMER_III,Setembro,ULTRAFORMER FULLFACE,600
ALPHAVILLE,ULTRAFORMER_III,Setembro,ULTRAFORMER INTERNO COXA,90
ALPHAVILLE,ULTRAFORMER_III,Setembro,ULTRAFORMER MAÇA DO ROSTO,180
ALPHAVILLE,ULTRAFORMER_III,Setembro,ULTRAFORMER OLHOS,30
ALPHAVILLE,ULTRAFORMER_III,Setembro,ULTRAFORMER PAPADA,210
ALPHAVILLE,ULTRAFORMER_III,Setembro,ULTRAFORMER PESCOÇO,80
BELO HORIZONTE,ESTÉTICA,Abril,CARBOXITERAPIA,240
BELO HORIZONTE,ESTÉTICA,Abril,CRIOLIPÓLISE,480
BELO HORIZONTE,ESTÉTICA,Abril,DRENAGEM,4080
BELO HORIZONTE,ESTÉTICA,Abril,HECCUS,210
BELO HORIZONTE,ESTÉTICA,Abril,HIDRATAÇÃO,60
BELO HORIZONTE,ESTÉTICA,Abril,LIMPEZA DE PELE,4020
BELO HORIZONTE,ESTÉTICA,Abril,PEELING DE DIAMANTE,1290
BELO HORIZONTE,ESTÉTICA,Abril,PRÓ- SHAPE,360
BELO HORIZONTE,ESTÉTICA,Abril,RADIOFREQUÊNCIA,510
BELO HORIZONTE,ESTÉTICA,Fevereiro,CARBOXITERAPIA,60
BELO HORIZONTE,ESTÉTICA,Fevereiro,CRIOLIPÓLISE,420
BELO HORIZONTE,ESTÉTICA,Fevereiro,DRENAGEM,2760
BELO HORIZONTE,ESTÉTICA,Fevereiro,HECCUS,150
BELO HORIZONTE,ESTÉTICA,Fevereiro,HIDRATAÇÃO,270
BELO HORIZONTE,ESTÉTICA,Fevereiro,LIMPEZA DE PELE,3240
BELO HORIZONTE,ESTÉTICA,Fevereiro,PEELING DE DIAMANTE,900
BELO HORIZONTE,ESTÉTICA,Fevereiro,PRÓ- SHAPE,120
BELO HORIZONTE,ESTÉTICA,Fevereiro,RADIOFREQUÊNCIA,390
BELO HORIZONTE,ESTÉTICA,Maio,CARBOXITERAPIA,240
BELO HORIZONTE,ESTÉTICA,Maio,CRIOLIPÓLISE,480
BELO HORIZONTE,ESTÉTICA,Maio,DRENAGEM,1980
BELO HORIZONTE,ESTÉTICA,Maio,HECCUS,210
BELO HORIZONTE,ESTÉTICA,Maio,HIDRATAÇÃO,180
BELO HORIZONTE,ESTÉTICA,Maio,LIMPEZA DE PELE,3180
BELO HORIZONTE,ESTÉTICA,Maio,PEELING DE DIAMANTE,720
BELO HORIZONTE,ESTÉTICA,Maio,PRÓ- SHAPE,60
BELO HORIZONTE,ESTÉTICA,Maio,RADIOFREQUÊNCIA,300
BELO HORIZONTE,ESTÉTICA,Março,CARBOXITERAPIA,240
BELO HORIZONTE,ESTÉTICA,Março,CRIOLIPÓLISE,240
BELO HORIZONTE,ESTÉTICA,Março,DRENAGEM,3300
BELO HORIZONTE,ESTÉTICA,Março,HECCUS,510
BELO HORIZONTE,ESTÉTICA,Março,HIDRATAÇÃO,360
BELO HORIZONTE,ESTÉTICA,Março,LIMPEZA DE PELE,3840
BELO HORIZONTE,ESTÉTICA,Março,PEELING DE DIAMANTE,1230
BELO HORIZONTE,ESTÉTICA,Março,PRÓ- SHAPE,240
BELO HORIZONTE,ESTÉTICA,Março,RADIOFREQUÊNCIA,360
BELO HORIZONTE,LAVIEEN,Abril,LAVIEEN,645
BELO HORIZONTE,LAVIEEN,Fevereiro,LAVIEEN,1110
BELO HORIZONTE,LAVIEEN,Maio,LAVIEEN,615
BELO HORIZONTE,LAVIEEN,Março,LAVIEEN,1005
BELO HORIZONTE,MEDICINA ESTÉTICA,Abril,BOTOX POWER,630
BELO HORIZONTE,MEDICINA ESTÉTICA,Abril,CO2 ROSTO,240
BELO HORIZONTE,MEDICINA ESTÉTICA,Abril,PEELING QUÍMICO,60
BELO HORIZONTE,MEDICINA ESTÉTICA,Abril,PREENCHIMENTO,390
BELO HORIZONTE,MEDICINA ESTÉTICA,Abril,PRÓ-BELLA,90
BELO HORIZONTE,MEDICINA ESTÉTICA,Abril,PRÓ-LIPO,315
BELO HORIZONTE,MEDICINA ESTÉTICA,Abril,PRÓ-MESO,30
BELO HORIZONTE,MEDICINA ESTÉTICA,Abril,RETOQUE,165
BELO HORIZONTE,MEDICINA ESTÉTICA,Abril,SCULPTRA,330
BELO HORIZONTE,MEDICINA ESTÉTICA,Abril,SECAGEM,30
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,BOTOX LIGHT,120
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,BOTOX POWER,540
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,CO2 CICATRIZ,10
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,PEELING QUÍMICO,120
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,PREENCHIMENTO,300
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,PRÓ-LIPO,420
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,PRÓ-MESO,90
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,RADIESSE,120
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,RETOQUE,195
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,SCULPTRA,330
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,SECAGEM,60
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,BOTOX POWER,270
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,DERMAROLLER,30
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,PEELING QUÍMICO,30
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,PREENCHIMENTO,300
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,PRÓ-BELLA,120
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,PRÓ-LIPO,195
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,RETOQUE,360
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,SCULPTRA,150
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,SECAGEM,30
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,BOTOX LIGHT,120
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,BOTOX POWER,450
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,PEELING QUÍMICO,180
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,PREENCHIMENTO,360
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,PRÓ-LIPO,375
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,PRÓ-MESO,90
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,RETOQUE,270
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,SCULPTRA,150
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,SECAGEM,90
BELO HORIZONTE,ULTRAFORMER_III,Abril,ULTRAFORMER FULLFACE,540
BELO HORIZONTE,ULTRAFORMER_III,Abril,ULTRAFORMER FULLFACE + PESCOÇO,180
BELO HORIZONTE,ULTRAFORMER_III,Abril,ULTRAFORMER INTERNO COXA,90
BELO HORIZONTE,ULTRAFORMER_III,Abril,ULTRAFORMER PAPADA,90
BELO HORIZONTE,ULTRAFORMER_III,Fevereiro,ULTRAFORMER FULLFACE,360
BELO HORIZONTE,ULTRAFORMER_III,Fevereiro,ULTRAFORMER OLHOS,30
BELO HORIZONTE,ULTRAFORMER_III,Fevereiro,ULTRAFORMER PAPADA,90
BELO HORIZONTE,ULTRAFORMER_III,Maio,ULTRAFORMER FULLFACE,300
BELO HORIZONTE,ULTRAFORMER_III,Maio,ULTRAFORMER INTERNO COXA,180
BELO HORIZONTE,ULTRAFORMER_III,Maio,ULTRAFORMER PAPADA,90
BELO HORIZONTE,ULTRAFORMER_III,Maio,ULTRAFORMER PESCOÇO,40
BELO HORIZONTE,ULTRAFORMER_III,Março,ULTRAFORMER FULLFACE,360
BELO HORIZONTE,ULTRAFORMER_III,Março,ULTRAFORMER FULLFACE + PESCOÇO,180
BELO HORIZONTE,ULTRAFORMER_III,Março,ULTRAFORMER PAPADA,60
CAMPINAS,ESTÉTICA,Abril,CARBOXITERAPIA,330
CAMPINAS,ESTÉTICA,Abril,DRENAGEM,6180
CAMPINAS,ESTÉTICA,Abril,HECCUS,270
CAMPINAS,ESTÉTICA,Abril,HIDRATAÇÃO,210
CAMPINAS,ESTÉTICA,Abril,LIMPEZA DE PELE,6060
CAMPINAS,ESTÉTICA,Abril,PEELING DE DIAMANTE,2070
CAMPINAS,ESTÉTICA,Abril,PRÓ- SHAPE,1200
CAMPINAS,ESTÉTICA,Abril,RADIOFREQUÊNCIA,240
CAMPINAS,ESTÉTICA,Agosto,CARBOXITERAPIA,360
CAMPINAS,ESTÉTICA,Agosto,CRIOLIPÓLISE,60
CAMPINAS,ESTÉTICA,Agosto,DRENAGEM,7260
CAMPINAS,ESTÉTICA,Agosto,HECCUS,270
CAMPINAS,ESTÉTICA,Agosto,HIDRATAÇÃO,360
CAMPINAS,ESTÉTICA,Agosto,LIMPEZA DE PELE,6240
CAMPINAS,ESTÉTICA,Agosto,PEELING DE DIAMANTE,3840
CAMPINAS,ESTÉTICA,Agosto,PRÓ- SHAPE,120
CAMPINAS,ESTÉTICA,Agosto,RADIOFREQUÊNCIA,360
CAMPINAS,ESTÉTICA,Fevereiro,CARBOXITERAPIA,630
CAMPINAS,ESTÉTICA,Fevereiro,CRIOLIPÓLISE,120
CAMPINAS,ESTÉTICA,Fevereiro,DRENAGEM,4320
CAMPINAS,ESTÉTICA,Fevereiro,HECCUS,900
CAMPINAS,ESTÉTICA,Fevereiro,HIDRATAÇÃO,930
CAMPINAS,ESTÉTICA,Fevereiro,LIMPEZA DE PELE,6420
CAMPINAS,ESTÉTICA,Fevereiro,PEELING DE DIAMANTE,1230
CAMPINAS,ESTÉTICA,Fevereiro,PRÓ- SHAPE,900
CAMPINAS,ESTÉTICA,Fevereiro,RADIOFREQUÊNCIA,330
CAMPINAS,ESTÉTICA,Julho,CARBOXITERAPIA,210
CAMPINAS,ESTÉTICA,Julho,CRIOLIPÓLISE,240
CAMPINAS,ESTÉTICA,Julho,DRENAGEM,6060
CAMPINAS,ESTÉTICA,Julho,HECCUS,360
CAMPINAS,ESTÉTICA,Julho,HIDRATAÇÃO,210
CAMPINAS,ESTÉTICA,Julho,LIMPEZA DE PELE,5160
CAMPINAS,ESTÉTICA,Julho,PEELING DE DIAMANTE,3330
CAMPINAS,ESTÉTICA,Julho,PRÓ- SHAPE,300
CAMPINAS,ESTÉTICA,Julho,RADIOFREQUÊNCIA,270
CAMPINAS,ESTÉTICA,Junho,CARBOXITERAPIA,330
CAMPINAS,ESTÉTICA,Junho,CRIOLIPÓLISE,600
CAMPINAS,ESTÉTICA,Junho,DRENAGEM,6660
CAMPINAS,ESTÉTICA,Junho,HECCUS,660
CAMPINAS,ESTÉTICA,Junho,HIDRATAÇÃO,60
CAMPINAS,ESTÉTICA,Junho,LIMPEZA DE PELE,5040
CAMPINAS,ESTÉTICA,Junho,PEELING DE DIAMANTE,2100
CAMPINAS,ESTÉTICA,Junho,PRÓ- SHAPE,420
CAMPINAS,ESTÉTICA,Junho,RADIOFREQUÊNCIA,660
CAMPINAS,ESTÉTICA,Maio,CARBOXITERAPIA,180
CAMPINAS,ESTÉTICA,Maio,CRIOLIPÓLISE,60
CAMPINAS,ESTÉTICA,Maio,DRENAGEM,6060
CAMPINAS,ESTÉTICA,Maio,HECCUS,360
CAMPINAS,ESTÉTICA,Maio,HIDRATAÇÃO,270
CAMPINAS,ESTÉTICA,Maio,LIMPEZA DE PELE,6120
CAMPINAS,ESTÉTICA,Maio,PEELING DE DIAMANTE,2100
CAMPINAS,ESTÉTICA,Maio,PRÓ- SHAPE,1080
CAMPINAS,ESTÉTICA,Maio,RADIOFREQUÊNCIA,330
CAMPINAS,ESTÉTICA,Março,CARBOXITERAPIA,300
CAMPINAS,ESTÉTICA,Março,CRIOLIPÓLISE,360
CAMPINAS,ESTÉTICA,Março,DRENAGEM,4920
CAMPINAS,ESTÉTICA,Março,HECCUS,720
CAMPINAS,ESTÉTICA,Março,HIDRATAÇÃO,480
CAMPINAS,ESTÉTICA,Março,LIMPEZA DE PELE,6600
CAMPINAS,ESTÉTICA,Março,PEELING DE DIAMANTE,1890
CAMPINAS,ESTÉTICA,Março,PRÓ- SHAPE,600
CAMPINAS,ESTÉTICA,Março,RADIOFREQUÊNCIA,240
CAMPINAS,ESTÉTICA,Novembro,CARBOXITERAPIA,60
CAMPINAS,ESTÉTICA,Novembro,CRIOLIPÓLISE,480
CAMPINAS,ESTÉTICA,Novembro,DRENAGEM,3540
CAMPINAS,ESTÉTICA,Novembro,HECCUS,120
CAMPINAS,ESTÉTICA,Novembro,HIDRATAÇÃO,240
CAMPINAS,ESTÉTICA,Novembro,LIMPEZA DE PELE,2100
CAMPINAS,ESTÉTICA,Novembro,PEELING DE DIAMANTE,1470
CAMPINAS,ESTÉTICA,Novembro,PRÓ- SHAPE,780
CAMPINAS,ESTÉTICA,Novembro,RADIOFREQUÊNCIA,30
CAMPINAS,ESTÉTICA,Outubro,CARBOXITERAPIA,210
CAMPINAS,ESTÉTICA,Outubro,CRIOLIPÓLISE,60
CAMPINAS,ESTÉTICA,Outubro,DRENAGEM,8100
CAMPINAS,ESTÉTICA,Outubro,HECCUS,90
CAMPINAS,ESTÉTICA,Outubro,HIDRATAÇÃO,690
CAMPINAS,ESTÉTICA,Outubro,LIMPEZA DE PELE,3780
CAMPINAS,ESTÉTICA,Outubro,PEELING DE DIAMANTE,3360
CAMPINAS,ESTÉTICA,Outubro,PRÓ- SHAPE,240
CAMPINAS,ESTÉTICA,Outubro,RADIOFREQUÊNCIA,60
CAMPINAS,ESTÉTICA,Setembro,CARBOXITERAPIA,180
CAMPINAS,ESTÉTICA,Setembro,CRIOLIPÓLISE,360
CAMPINAS,ESTÉTICA,Setembro,DRENAGEM,6120
CAMPINAS,ESTÉTICA,Setembro,HECCUS,300
CAMPINAS,ESTÉTICA,Setembro,HIDRATAÇÃO,540
CAMPINAS,ESTÉTICA,Setembro,LIMPEZA DE PELE,3840
CAMPINAS,ESTÉTICA,Setembro,PEELING DE DIAMANTE,3090
CAMPINAS,ESTÉTICA,Setembro,PRÓ- SHAPE,240
CAMPINAS,ESTÉTICA,Setembro,RADIOFREQUÊNCIA,150
CAMPINAS,LAVIEEN,Abril,LAVIEEN,840
CAMPINAS,LAVIEEN,Agosto,LAVIEEN,1980
CAMPINAS,LAVIEEN,Fevereiro,LAVIEEN,1350
CAMPINAS,LAVIEEN,Julho,LAVIEEN,1215
CAMPINAS,LAVIEEN,Junho,LAVIEEN,1560
CAMPINAS,LAVIEEN,Maio,LAVIEEN,1440
CAMPINAS,LAVIEEN,Março,LAVIEEN,1185
CAMPINAS,LAVIEEN,Novembro,LAVIEEN,750
CAMPINAS,LAVIEEN,Outubro,LAVIEEN,1410
CAMPINAS,LAVIEEN,Setembro,LAVIEEN,1725
CAMPINAS,MEDICINA ESTÉTICA,Abril,BOTOX POWER,570
