Unidade do agendamento,Grupo,Mês Atendimento,Procedimentos Padronizados,Quantidade,Duração (min),Custo Direto,Quantidade (cortesia),Custo Direto (corteisa)
ALPHAVILLE,ESTÉTICA,Outubro,LIMPEZA DE PELE,88,5280,3497.1200000000003,5.0,198.70000000000002
ALPHAVILLE,ESTÉTICA,Outubro,PEELING DE DIAMANTE,23,690,752.33,22.0,719.62
ALPHAVILLE,ESTÉTICA,Outubro,PRÓ- SHAPE,7,420,277.90000000000003,0.0,0.0
ALPHAVILLE,ESTÉTICA,Outubro,RADIOFREQUÊNCIA,3,90,85.94999999999999,0.0,0.0
ALPHAVILLE,ESTÉTICA,Setembro,CARBOXITERAPIA,2,60,48.24,0.0,0.0
ALPHAVILLE,ESTÉTICA,Setembro,CRIOLIPÓLISE,11,660,1134.8700000000001,0.0,0.0
ALPHAVILLE,ESTÉTICA,Setembro,DRENAGEM,46,2760,1329.86,0.0,0.0
ALPHAVILLE,ESTÉTICA,Setembro,HECCUS,8,240,172.8,0.0,0.0
ALPHAVILLE,ESTÉTICA,Setembro,HIDRATAÇÃO,16,480,370.56,16.0,370.56
ALPHAVILLE,ESTÉTICA,Setembro,LIMPEZA DE PELE,97,5820,3854.78,11.0,437.14000000000004
ALPHAVILLE,ESTÉTICA,Setembro,PEELING DE DIAMANTE,25,750,817.75,25.0,817.75
ALPHAVILLE,ESTÉTICA,Setembro,PRÓ- SHAPE,4,240,158.8,0.0,0.0
ALPHAVILLE,LAVIEEN,Agosto,LAVIEEN,77,1155,7449.75,62.0,5998.5
ALPHAVILLE,LAVIEEN,Agosto,PRÓ-SÉRUM,26,130,1748.2399999999998,0.0,0.0
ALPHAVILLE,LAVIEEN,Julho,LAVIEEN,50,750,4837.5,39.0,3773.25
ALPHAVILLE,LAVIEEN,Julho,PRÓ-SÉRUM,10,50,672.4,0.0,0.0
ALPHAVILLE,LAVIEEN,Junho,LAVIEEN,60,900,5805.0,55.0,5321.25
ALPHAVILLE,LAVIEEN,Junho,PRÓ-SÉRUM,21,105,1412.04,0.0,0.0
ALPHAVILLE,LAVIEEN,Maio,LAVIEEN,52,780,5031.0,49.0,4740.75
ALPHAVILLE,LAVIEEN,Maio,PRÓ-SÉRUM,8,40,537.92,0.0,0.0
ALPHAVILLE,LAVIEEN,Novembro,LAVIEEN,22,330,2128.5,10.0,967.5
ALPHAVILLE,LAVIEEN,Outubro,LAVIEEN,48,720,4644.0,26.0,2515.5
ALPHAVILLE,LAVIEEN,Outubro,PRÓ-SÉRUM,18,90,1210.32,0.0,0.0
ALPHAVILLE,LAVIEEN,Setembro,LAVIEEN,87,1305,8417.25,59.0,5708.25
ALPHAVILLE,LAVIEEN,Setembro,PRÓ-SÉRUM,16,80,1075.84,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Abril,BOTOX POWER,1,30,307.82,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Abril,PEELING QUÍMICO,1,30,31.34,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,BOTOX LIGHT,1,30,162.46,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,BOTOX POWER,16,480,4925.12,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,PEELING QUÍMICO,1,30,31.34,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,PREENCHIMENTO,2,60,595.6,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,PRÓ-BELLA,1,30,67.1,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,PRÓ-LIPO,5,75,207.54999999999998,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,PRÓ-MESO,2,60,91.64,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,RADIESSE,1,30,771.18,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,RETOQUE,8,120,0.0,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,SCULPTRA,3,90,3102.54,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,SECAGEM,3,90,67.5,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,BOTOX LIGHT,5,150,812.3000000000001,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,BOTOX POWER,20,600,6156.4,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,PEELING QUÍMICO,3,90,94.02,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,PREENCHIMENTO,6,180,1786.8000000000002,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,PRÓ-BELLA,1,30,67.1,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,PRÓ-LIPO,5,75,207.54999999999998,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,RETOQUE,7,105,0.0,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,SCULPTRA,3,90,3102.54,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,SECAGEM,1,30,22.5,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Junho,BOTOX POWER,6,180,1846.92,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Junho,PEELING QUÍMICO,1,30,31.34,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Junho,PREENCHIMENTO,2,60,595.6,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Junho,PRÓ-BELLA,1,30,67.1,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Junho,PRÓ-LIPO,8,120,332.08,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Junho,RETOQUE,1,15,0.0,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Junho,SCULPTRA,5,150,5170.900000000001,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Maio,BOTOX LIGHT,1,30,162.46,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Maio,BOTOX POWER,7,210,2154.74,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Maio,PEELING QUÍMICO,6,180,188.04,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Maio,PREENCHIMENTO,3,90,893.4000000000001,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Maio,PRÓ-LIPO,5,75,207.54999999999998,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Maio,PRÓ-MESO,1,30,45.82,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Maio,RETOQUE,1,15,0.0,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Maio,SCULPTRA,5,150,5170.900000000001,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,BOTOX LIGHT,2,60,324.92,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,BOTOX POWER,9,270,2770.38,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,PEELING QUÍMICO,1,30,31.34,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,PREENCHIMENTO,3,90,893.4000000000001,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,PRÓ-BELLA,1,30,67.1,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,PRÓ-LIPO,7,105,290.57,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,RADIESSE,2,60,1542.36,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,RETOQUE,6,90,0.0,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,SCULPTRA,6,180,6205.08,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,SECAGEM,2,60,45.0,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,BOTOX LIGHT,4,120,649.84,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,BOTOX POWER,11,330,3386.02,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,ENZIMA MELASMA,1,30,51.12,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,PEELING QUÍMICO,1,30,31.34,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,PREENCHIMENTO,6,180,1786.8000000000002,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,PRÓ-BELLA,1,30,67.1,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,PRÓ-LIPO,16,240,664.16,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,RETOQUE,14,210,0.0,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,SECAGEM,1,30,22.5,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,BOTOX LIGHT,5,150,812.3000000000001,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,BOTOX POWER,15,450,4617.3,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,PEELING QUÍMICO,1,30,31.34,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,PREENCHIMENTO,3,90,893.4000000000001,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,PRÓ-LIPO,12,180,498.12,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,RADIESSE,1,30,771.18,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,RETOQUE,10,150,0.0,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,SCULPTRA,7,210,7239.26,0.0,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,SECAGEM,1,30,22.5,0.0,0.0
ALPHAVILLE,ULTRAFORMER_III,Agosto,ULTRAFORMER FULLFACE,12,720,8827.44,0.0,0.0
ALPHAVILLE,ULTRAFORMER_III,Agosto,ULTRAFORMER MAÇA DO ROSTO,1,45,420.62,0.0,0.0
ALPHAVILLE,ULTRAFORMER_III,Agosto,ULTRAFORMER OLHOS,1,30,243.12,0.0,0.0
ALPHAVILLE,ULTRAFORMER_III,Agosto,ULTRAFORMER PAPADA,2,60,506.24,0.0,0.0
ALPHAVILLE,ULTRAFORMER_III,Agosto,ULTRAFORMER PESCOÇO,1,40,463.12,0.0,0.0
ALPHAVILLE,ULTRAFORMER_III,Julho,ULTRAFORMER FULLFACE,5,300,3678.1,0.0,0.0
ALPHAVILLE,ULTRAFORMER_III,Julho,ULTRAFORMER MAÇA DO ROSTO,2,90,841.24,0.0,0.0
ALPHAVILLE,ULTRAFORMER_III,Julho,ULTRAFORMER OLHOS,1,30,243.12,0.0,0.0
ALPHAVILLE,ULTRAFORMER_III,Julho,ULTRAFORMER PAPADA,3,90,759.36,0.0,0.0
ALPHAVILLE,ULTRAFORMER_III,Junho,ULTRAFORMER FULLFACE,8,480,5884.96,0.0,0.0
ALPHAVILLE,ULTRAFORMER_III,Junho,ULTRAFORMER PAPADA,1,30,253.12,0.0,0.0
ALPHAVILLE,ULTRAFORMER_III,Junho,ULTRAFORMER PESCOÇO,1,40,463.12,0.0,0.0
ALPHAVILLE,ULTRAFORMER_III,Maio,ULTRAFORMER FULLFACE,7,420,5149.34,0.0,0.0
ALPHAVILLE,ULTRAFORMER_III,Maio,ULTRAFORMER PAPADA,1,30,253.12,0.0,0.0
ALPHAVILLE,ULTRAFORMER_III,Novembro,ULTRAFORMER FULLFACE,13,780,9563.06,0.0,0.0
ALPHAVILLE,ULTRAFORMER_III,Novembro,ULTRAFORMER FULLFACE + PESCOÇO,1,90,1019.08,0.0,0.0
ALPHAVILLE,ULTRAFORMER_III,Novembro,ULTRAFORMER MAÇA DO ROSTO,1,45,420.62,0.0,0.0
ALPHAVILLE,ULTRAFORMER_III,Novembro,ULTRAFORMER OLHOS,2,60,486.24,0.0,0.0
ALPHAVILLE,ULTRAFORMER_III,Novembro,ULTRAFORMER PAPADA,4,120,1012.48,0.0,0.0
ALPHAVILLE,ULTRAFORMER_III,Novembro,ULTRAFORMER PESCOÇO,1,40,463.12,0.0,0.0
ALPHAVILLE,ULTRAFORMER_III,Outubro,ULTRAFORMER FULLFACE,9,540,6620.58,0.0,0.0
ALPHAVILLE,ULTRAFORMER_III,Outubro,ULTRAFORMER MAÇA DO ROSTO,2,90,841.24,0.0,0.0
ALPHAVILLE,ULTRAFORMER_III,Outubro,ULTRAFORMER OLHOS,4,120,972.48,0.0,0.0
ALPHAVILLE,ULTRAFORMER_III,Outubro,ULTRAFORMER PAPADA,6,180,1518.72,0.0,0.0
ALPHAVILLE,ULTRAFORMER_III,Setembro,ULTRAFORMER FULLFACE,10,600,7356.2,0.0,0.0
ALPHAVILLE,ULTRAFORMER_III,Setembro,ULTRAFORMER INTERNO COXA,1,90,1343.12,0.0,0.0
ALPHAVILLE,ULTRAFORMER_III,Setembro,ULTRAFORMER MAÇA DO ROSTO,4,180,1682.48,0.0,0.0
ALPHAVILLE,ULTRAFORMER_III,Setembro,ULTRAFORMER OLHOS,1,30,243.12,0.0,0.0
ALPHAVILLE,ULTRAFORMER_III,Setembro,ULTRAFORMER PAPADA,7,210,1771.8400000000001,0.0,0.0
ALPHAVILLE,ULTRAFORMER_III,Setembro,ULTRAFORMER PESCOÇO,2,80,926.24,0.0,0.0
BELO HORIZONTE,ESTÉTICA,Abril,CARBOXITERAPIA,8,240,192.96,1.0,24.12
BELO HORIZONTE,ESTÉTICA,Abril,CRIOLIPÓLISE,8,480,825.36,0.0,0.0
BELO HORIZONTE,ESTÉTICA,Abril,DRENAGEM,68,4080,1965.88,0.0,0.0
BELO HORIZONTE,ESTÉTICA,Abril,HECCUS,7,210,151.20000000000002,0.0,0.0
BELO HORIZONTE,ESTÉTICA,Abril,HIDRATAÇÃO,2,60,46.32,2.0,46.32
BELO HORIZONTE,ESTÉTICA,Abril,LIMPEZA DE PELE,67,4020,2662.58,19.0,755.0600000000001
BELO HORIZONTE,ESTÉTICA,Abril,PEELING DE DIAMANTE,43,1290,1406.53,43.0,1406.53
BELO HORIZONTE,ESTÉTICA,Abril,PRÓ- SHAPE,6,360,238.20000000000002,0.0,0.0
BELO HORIZONTE,ESTÉTICA,Abril,RADIOFREQUÊNCIA,17,510,487.04999999999995,7.0,200.54999999999998
BELO HORIZONTE,ESTÉTICA,Fevereiro,CARBOXITERAPIA,2,60,48.24,2.0,48.24
BELO HORIZONTE,ESTÉTICA,Fevereiro,CRIOLIPÓLISE,7,420,722.19,0.0,0.0
BELO HORIZONTE,ESTÉTICA,Fevereiro,DRENAGEM,46,2760,1329.86,0.0,0.0
BELO HORIZONTE,ESTÉTICA,Fevereiro,HECCUS,5,150,108.0,1.0,21.6
BELO HORIZONTE,ESTÉTICA,Fevereiro,HIDRATAÇÃO,9,270,208.44,9.0,208.44
BELO HORIZONTE,ESTÉTICA,Fevereiro,LIMPEZA DE PELE,54,3240,2145.96,14.0,556.36
BELO HORIZONTE,ESTÉTICA,Fevereiro,PEELING DE DIAMANTE,30,900,981.3000000000001,29.0,948.59
BELO HORIZONTE,ESTÉTICA,Fevereiro,PRÓ- SHAPE,2,120,79.4,0.0,0.0
BELO HORIZONTE,ESTÉTICA,Fevereiro,RADIOFREQUÊNCIA,13,390,372.45,7.0,200.54999999999998
BELO HORIZONTE,ESTÉTICA,Maio,CARBOXITERAPIA,8,240,192.96,0.0,0.0
BELO HORIZONTE,ESTÉTICA,Maio,CRIOLIPÓLISE,8,480,825.36,0.0,0.0
BELO HORIZONTE,ESTÉTICA,Maio,DRENAGEM,33,1980,954.03,0.0,0.0
BELO HORIZONTE,ESTÉTICA,Maio,HECCUS,7,210,151.20000000000002,0.0,0.0
BELO HORIZONTE,ESTÉTICA,Maio,HIDRATAÇÃO,6,180,138.96,5.0,115.8
BELO HORIZONTE,ESTÉTICA,Maio,LIMPEZA DE PELE,53,3180,2106.2200000000003,7.0,278.18
BELO HORIZONTE,ESTÉTICA,Maio,PEELING DE DIAMANTE,24,720,785.04,24.0,785.04
BELO HORIZONTE,ESTÉTICA,Maio,PRÓ- SHAPE,1,60,39.7,0.0,0.0
BELO HORIZONTE,ESTÉTICA,Maio,RADIOFREQUÊNCIA,10,300,286.5,4.0,114.6
BELO HORIZONTE,ESTÉTICA,Março,CARBOXITERAPIA,8,240,192.96,1.0,24.12
BELO HORIZONTE,ESTÉTICA,Março,CRIOLIPÓLISE,4,240,412.68,0.0,0.0
BELO HORIZONTE,ESTÉTICA,Março,DRENAGEM,55,3300,1590.05,0.0,0.0
BELO HORIZONTE,ESTÉTICA,Março,HECCUS,17,510,367.20000000000005,4.0,86.4
BELO HORIZONTE,ESTÉTICA,Março,HIDRATAÇÃO,12,360,277.92,11.0,254.76
BELO HORIZONTE,ESTÉTICA,Março,LIMPEZA DE PELE,64,3840,2543.36,9.0,357.66
BELO HORIZONTE,ESTÉTICA,Março,PEELING DE DIAMANTE,41,1230,1341.1100000000001,40.0,1308.4
BELO HORIZONTE,ESTÉTICA,Março,PRÓ- SHAPE,4,240,158.8,3.0,119.10000000000001
BELO HORIZONTE,ESTÉTICA,Março,RADIOFREQUÊNCIA,12,360,343.79999999999995,3.0,85.94999999999999
BELO HORIZONTE,LAVIEEN,Abril,LAVIEEN,43,645,4160.25,25.0,2418.75
BELO HORIZONTE,LAVIEEN,Fevereiro,LAVIEEN,74,1110,7159.5,38.0,3676.5
BELO HORIZONTE,LAVIEEN,Maio,LAVIEEN,41,615,3966.75,26.0,2515.5
BELO HORIZONTE,LAVIEEN,Março,LAVIEEN,67,1005,6482.25,39.0,3773.25
BELO HORIZONTE,MEDICINA ESTÉTICA,Abril,BOTOX POWER,21,630,6464.22,0.0,0.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Abril,CO2 ROSTO,8,240,1993.92,0.0,0.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Abril,PEELING QUÍMICO,2,60,62.68,0.0,0.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Abril,PREENCHIMENTO,13,390,3871.4,0.0,0.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Abril,PRÓ-BELLA,3,90,201.29999999999998,0.0,0.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Abril,PRÓ-LIPO,21,315,871.7099999999999,0.0,0.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Abril,PRÓ-MESO,1,30,45.82,0.0,0.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Abril,RETOQUE,11,165,0.0,0.0,0.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Abril,SCULPTRA,11,330,11375.980000000001,0.0,0.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Abril,SECAGEM,1,30,22.5,0.0,0.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,BOTOX LIGHT,4,120,649.84,0.0,0.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,BOTOX POWER,18,540,5540.76,0.0,0.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,CO2 CICATRIZ,1,10,189.24,0.0,0.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,PEELING QUÍMICO,4,120,125.36,0.0,0.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,PREENCHIMENTO,10,300,2978.0,0.0,0.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,PRÓ-LIPO,28,420,1162.28,0.0,0.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,PRÓ-MESO,3,90,137.46,0.0,0.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,RADIESSE,4,120,3084.72,0.0,0.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,RETOQUE,13,195,0.0,0.0,0.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,SCULPTRA,11,330,11375.980000000001,0.0,0.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,SECAGEM,2,60,45.0,0.0,0.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,BOTOX POWER,9,270,2770.38,0.0,0.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,DERMAROLLER,1,30,115.48,0.0,0.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,PEELING QUÍMICO,1,30,31.34,0.0,0.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,PREENCHIMENTO,10,300,2978.0,0.0,0.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,PRÓ-BELLA,4,120,268.4,0.0,0.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,PRÓ-LIPO,13,195,539.63,0.0,0.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,RETOQUE,24,360,0.0,0.0,0.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,SCULPTRA,5,150,5170.900000000001,0.0,0.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,SECAGEM,1,30,22.5,0.0,0.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,BOTOX LIGHT,4,120,649.84,0.0,0.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,BOTOX POWER,15,450,4617.3,0.0,0.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,PEELING QUÍMICO,6,180,188.04,0.0,0.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,PREENCHIMENTO,12,360,3573.6000000000004,0.0,0.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,PRÓ-LIPO,25,375,1037.75,0.0,0.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,PRÓ-MESO,3,90,137.46,0.0,0.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,RETOQUE,18,270,0.0,0.0,0.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,SCULPTRA,5,150,5170.900000000001,0.0,0.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,SECAGEM,3,90,67.5,0.0,0.0
BELO HORIZONTE,ULTRAFORMER_III,Abril,ULTRAFORMER FULLFACE,9,540,6620.58,0.0,0.0
BELO HORIZONTE,ULTRAFORMER_III,Abril,ULTRAFORMER FULLFACE + PESCOÇO,2,180,2038.16,0.0,0.0
BELO HORIZONTE,ULTRAFORMER_III,Abril,ULTRAFORMER INTERNO COXA,1,90,1343.12,0.0,0.0
BELO HORIZONTE,ULTRAFORMER_III,Abril,ULTRAFORMER PAPADA,3,90,759.36,0.0,0.0
BELO HORIZONTE,ULTRAFORMER_III,Fevereiro,ULTRAFORMER FULLFACE,6,360,4413.72,0.0,0.0
BELO HORIZONTE,ULTRAFORMER_III,Fevereiro,ULTRAFORMER OLHOS,1,30,243.12,0.0,0.0
BELO HORIZONTE,ULTRAFORMER_III,Fevereiro,ULTRAFORMER PAPADA,3,90,759.36,0.0,0.0
