Unidade,Grupo,Mês venda,Procedimentos Padronizados,Preço médio
ALPHAVILLE,ESTÉTICA,Novembro,HECCUS,89.0
ALPHAVILLE,ESTÉTICA,Novembro,LIMPEZA DE PELE,51.61
ALPHAVILLE,ESTÉTICA,Novembro,PRÓ- SHAPE,150.0
ALPHAVILLE,ESTÉTICA,Novembro,RADIOFREQUÊNCIA,89.0
ALPHAVILLE,ESTÉTICA,Outubro,CARBOXITERAPIA,111.55
ALPHAVILLE,ESTÉTICA,Outubro,CRIOLIPÓLISE,453.64
ALPHAVILLE,ESTÉTICA,Outubro,DRENAGEM,101.85
ALPHAVILLE,ESTÉTICA,Outubro,DRENAGEM 30 MIN,55.07
ALPHAVILLE,ESTÉTICA,Outubro,HECCUS,100.87
ALPHAVILLE,ESTÉTICA,Outubro,HIDRATAÇÃO,90.0
ALPHAVILLE,ESTÉTICA,Outubro,LIMPEZA DE PELE,92.92
ALPHAVILLE,ESTÉTICA,Outubro,PRÓ- SHAPE,93.0
ALPHAVILLE,ESTÉTICA,Outubro,RADIOFREQUÊNCIA,96.95
ALPHAVILLE,ESTÉTICA,Setembro,CARBOXITERAPIA,106.8
ALPHAVILLE,ESTÉTICA,Setembro,CRIOLIPÓLISE,370.2
ALPHAVILLE,ESTÉTICA,Setembro,DRENAGEM,95.18
ALPHAVILLE,ESTÉTICA,Setembro,DRENAGEM 30 MIN,59.0
ALPHAVILLE,ESTÉTICA,Setembro,LIMPEZA DE PELE,90.0
ALPHAVILLE,ESTÉTICA,Setembro,PEELING DE DIAMANTE,100.0
ALPHAVILLE,ESTÉTICA,Setembro,PRÓ- SHAPE,110.0
ALPHAVILLE,ESTÉTICA,Setembro,RADIOFREQUÊNCIA,113.6
ALPHAVILLE,LAVIEEN,Agosto,LAVIEEN,313.29
ALPHAVILLE,LAVIEEN,Agosto,PRÓ-SÉRUM,150.0
ALPHAVILLE,LAVIEEN,Julho,LAVIEEN,361.73
ALPHAVILLE,LAVIEEN,Julho,PRÓ-SÉRUM,150.0
ALPHAVILLE,LAVIEEN,Junho,LAVIEEN,347.35
ALPHAVILLE,LAVIEEN,Junho,PRÓ-SÉRUM,150.0
ALPHAVILLE,LAVIEEN,Maio,LAVIEEN,290.73
ALPHAVILLE,LAVIEEN,Maio,PRÓ-SÉRUM,150.0
ALPHAVILLE,LAVIEEN,Novembro,LAVIEEN,223.67
ALPHAVILLE,LAVIEEN,Novembro,PRÓ-SÉRUM,150.0
ALPHAVILLE,LAVIEEN,Outubro,LAVIEEN,295.05
ALPHAVILLE,LAVIEEN,Outubro,PRÓ-SÉRUM,150.0
ALPHAVILLE,LAVIEEN,Setembro,LAVIEEN,296.58
ALPHAVILLE,LAVIEEN,Setembro,PRÓ-SÉRUM,150.0
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,BOTOX LIGHT,500.0
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,BOTOX POWER,831.53
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,PEELING QUÍMICO,200.0
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,PREENCHIMENTO,796.33
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,PRÓ-LIPO,190.0
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,PRÓ-MESO,200.0
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,RADIESSE,1500.0
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,SCULPTRA,1833.33
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,SECAGEM,160.0
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,BOTOX LIGHT,445.25
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,BOTOX POWER,838.0
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,PEELING QUÍMICO,290.0
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,PREENCHIMENTO,817.2
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,PRÓ-LIPO,199.5
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,SCULPTRA,1800.0
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,SECAGEM,146.5
ALPHAVILLE,MEDICINA ESTÉTICA,Junho,BOTOX LIGHT,455.0
ALPHAVILLE,MEDICINA ESTÉTICA,Junho,BOTOX POWER,854.38
ALPHAVILLE,MEDICINA ESTÉTICA,Junho,PEELING QUÍMICO,226.33
ALPHAVILLE,MEDICINA ESTÉTICA,Junho,PREENCHIMENTO,893.8
ALPHAVILLE,MEDICINA ESTÉTICA,Junho,PRÓ-BELLA,230.0
ALPHAVILLE,MEDICINA ESTÉTICA,Junho,PRÓ-LIPO,219.33
ALPHAVILLE,MEDICINA ESTÉTICA,Junho,SCULPTRA,1875.0
ALPHAVILLE,MEDICINA ESTÉTICA,Maio,BOTOX LIGHT,700.0
ALPHAVILLE,MEDICINA ESTÉTICA,Maio,BOTOX POWER,905.33
ALPHAVILLE,MEDICINA ESTÉTICA,Maio,PEELING QUÍMICO,239.2
ALPHAVILLE,MEDICINA ESTÉTICA,Maio,PREENCHIMENTO,893.0
ALPHAVILLE,MEDICINA ESTÉTICA,Maio,PRÓ-LIPO,228.33
ALPHAVILLE,MEDICINA ESTÉTICA,Maio,SCULPTRA,2166.67
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,BOTOX LIGHT,537.78
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,BOTOX POWER,781.86
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,DERMAROLLER,333.33
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,GLÚTEO MAX,300.0
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,PEELING QUÍMICO,200.0
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,PREENCHIMENTO,750.89
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,PRÓ-LIPO,199.0
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,RADIESSE,1466.67
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,SCULPTRA,1750.0
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,BOTOX LIGHT,564.0
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,BOTOX POWER,831.08
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,DERMAROLLER,290.0
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,ENZIMA MELASMA,290.0
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,PREENCHIMENTO,880.86
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,PRÓ-BELLA,199.0
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,PRÓ-LIPO,199.25
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,SCULPTRA,1800.0
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,BOTOX LIGHT,433.0
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,BOTOX POWER,804.5
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,PREENCHIMENTO,799.75
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,PRÓ-LIPO,204.86
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,RADIESSE,1520.0
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,SCULPTRA,1866.67
ALPHAVILLE,ULTRAFORMER_III,Agosto,ULTRAFORMER FULLFACE,1703.33
ALPHAVILLE,ULTRAFORMER_III,Agosto,ULTRAFORMER INTERNO COXA,1500.0
ALPHAVILLE,ULTRAFORMER_III,Agosto,ULTRAFORMER MAÇA DO ROSTO,1100.0
ALPHAVILLE,ULTRAFORMER_III,Agosto,ULTRAFORMER OLHOS,791.0
ALPHAVILLE,ULTRAFORMER_III,Agosto,ULTRAFORMER PAPADA,769.35
ALPHAVILLE,ULTRAFORMER_III,Agosto,ULTRAFORMER PESCOÇO,1062.5
ALPHAVILLE,ULTRAFORMER_III,Julho,ULTRAFORMER FULLFACE,1726.0
ALPHAVILLE,ULTRAFORMER_III,Julho,ULTRAFORMER MAÇA DO ROSTO,960.0
ALPHAVILLE,ULTRAFORMER_III,Julho,ULTRAFORMER OLHOS,841.5
ALPHAVILLE,ULTRAFORMER_III,Julho,ULTRAFORMER PAPADA,690.0
ALPHAVILLE,ULTRAFORMER_III,Junho,ULTRAFORMER FULLFACE,1740.0
ALPHAVILLE,ULTRAFORMER_III,Junho,ULTRAFORMER MAÇA DO ROSTO,850.0
ALPHAVILLE,ULTRAFORMER_III,Junho,ULTRAFORMER PAPADA,690.0
ALPHAVILLE,ULTRAFORMER_III,Junho,ULTRAFORMER PESCOÇO,690.0
ALPHAVILLE,ULTRAFORMER_III,Maio,ULTRAFORMER FULLFACE,1810.0
ALPHAVILLE,ULTRAFORMER_III,Maio,ULTRAFORMER MAÇA DO ROSTO,980.0
ALPHAVILLE,ULTRAFORMER_III,Maio,ULTRAFORMER PAPADA,792.0
ALPHAVILLE,ULTRAFORMER_III,Novembro,ULTRAFORMER FULLFACE,1556.85
ALPHAVILLE,ULTRAFORMER_III,Novembro,ULTRAFORMER FULLFACE + PESCOÇO,2500.0
ALPHAVILLE,ULTRAFORMER_III,Novembro,ULTRAFORMER MAÇA DO ROSTO,895.0
ALPHAVILLE,ULTRAFORMER_III,Novembro,ULTRAFORMER OLHOS,480.0
ALPHAVILLE,ULTRAFORMER_III,Novembro,ULTRAFORMER PAPADA,589.58
ALPHAVILLE,ULTRAFORMER_III,Novembro,ULTRAFORMER PESCOÇO,900.0
ALPHAVILLE,ULTRAFORMER_III,Outubro,ULTRAFORMER FULLFACE,1665.71
ALPHAVILLE,ULTRAFORMER_III,Outubro,ULTRAFORMER MAÇA DO ROSTO,1025.0
ALPHAVILLE,ULTRAFORMER_III,Outubro,ULTRAFORMER OLHOS,720.0
ALPHAVILLE,ULTRAFORMER_III,Outubro,ULTRAFORMER PAPADA,689.9
ALPHAVILLE,ULTRAFORMER_III,Setembro,ULTRAFORMER FULLFACE,1680.0
ALPHAVILLE,ULTRAFORMER_III,Setembro,ULTRAFORMER MAÇA DO ROSTO,1000.0
ALPHAVILLE,ULTRAFORMER_III,Setembro,ULTRAFORMER OLHOS,690.0
ALPHAVILLE,ULTRAFORMER_III,Setembro,ULTRAFORMER PAPADA,696.9
ALPHAVILLE,ULTRAFORMER_III,Setembro,ULTRAFORMER PESCOÇO,1035.0
BELO HORIZONTE,ESTÉTICA,Fevereiro,CRIOLIPÓLISE,307.43
BELO HORIZONTE,ESTÉTICA,Fevereiro,DRENAGEM,79.0
BELO HORIZONTE,ESTÉTICA,Fevereiro,DRENAGEM 30 MIN,59.0
BELO HORIZONTE,ESTÉTICA,Fevereiro,HECCUS,99.0
BELO HORIZONTE,ESTÉTICA,Fevereiro,HIDRATAÇÃO,81.7
BELO HORIZONTE,ESTÉTICA,Fevereiro,LIMPEZA DE PELE,60.43
BELO HORIZONTE,ESTÉTICA,Fevereiro,RADIOFREQUÊNCIA,90.0
BELO HORIZONTE,ESTÉTICA,Janeiro,CARBOXITERAPIA,99.4
BELO HORIZONTE,ESTÉTICA,Janeiro,CRIOLIPÓLISE,370.0
BELO HORIZONTE,ESTÉTICA,Janeiro,DRENAGEM,83.6
BELO HORIZONTE,ESTÉTICA,Janeiro,HECCUS,113.6
BELO HORIZONTE,ESTÉTICA,Janeiro,LIMPEZA DE PELE,81.11
BELO HORIZONTE,ESTÉTICA,Janeiro,PEELING DE DIAMANTE,113.4
BELO HORIZONTE,ESTÉTICA,Janeiro,PRÓ- SHAPE,120.0
BELO HORIZONTE,ESTÉTICA,Julho,CRIOLIPÓLISE,299.0
BELO HORIZONTE,ESTÉTICA,Julho,DRENAGEM,79.0
BELO HORIZONTE,ESTÉTICA,Maio,CRIOLIPÓLISE,550.0
BELO HORIZONTE,ESTÉTICA,Maio,LIMPEZA DE PELE,70.0
BELO HORIZONTE,ESTÉTICA,Maio,RADIOFREQUÊNCIA,99.4
BELO HORIZONTE,ESTÉTICA,Março,CARBOXITERAPIA,113.6
BELO HORIZONTE,ESTÉTICA,Março,CRIOLIPÓLISE,432.5
BELO HORIZONTE,ESTÉTICA,Março,DRENAGEM,79.0
BELO HORIZONTE,ESTÉTICA,Março,HECCUS,104.0
BELO HORIZONTE,ESTÉTICA,Março,LIMPEZA DE PELE,76.09
BELO HORIZONTE,ESTÉTICA,Março,PEELING DE DIAMANTE,111.05
BELO HORIZONTE,ESTÉTICA,Março,RADIOFREQUÊNCIA,94.05
BELO HORIZONTE,LAVIEEN,Fevereiro,LAVIEEN,373.25
BELO HORIZONTE,LAVIEEN,Janeiro,LAVIEEN,484.75
BELO HORIZONTE,LAVIEEN,Maio,PRÓ-SÉRUM,150.0
BELO HORIZONTE,LAVIEEN,Março,LAVIEEN,398.57
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,BOTOX LIGHT,590.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,BOTOX POWER,890.77
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,PEELING QUÍMICO,290.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,PREENCHIMENTO,876.67
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,PRÓ-LIPO,198.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,PRÓ-MESO,200.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,RADIESSE,1700.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,SCULPTRA,2070.83
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,SECAGEM,190.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Janeiro,BOTOX LIGHT,590.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Janeiro,BOTOX POWER,916.67
BELO HORIZONTE,MEDICINA ESTÉTICA,Janeiro,ENZIMA MELASMA,200.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Janeiro,PEELING QUÍMICO,261.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Janeiro,PREENCHIMENTO,930.33
BELO HORIZONTE,MEDICINA ESTÉTICA,Janeiro,PRÓ-LIPO,199.44
BELO HORIZONTE,MEDICINA ESTÉTICA,Janeiro,RADIESSE,1700.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Janeiro,SCULPTRA,2035.69
BELO HORIZONTE,MEDICINA ESTÉTICA,Janeiro,SECAGEM,150.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Julho,BOTOX POWER,801.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Julho,SCULPTRA,2300.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,BOTOX POWER,892.49
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,DERMAROLLER,472.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,PEELING QUÍMICO,290.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,PREENCHIMENTO,943.6
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,PRÓ-LIPO,290.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,SCULPTRA,1800.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,BOTOX LIGHT,545.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,BOTOX POWER,833.31
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,PEELING QUÍMICO,245.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,PREENCHIMENTO,882.9
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,PRÓ-LIPO,202.36
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,SCULPTRA,1898.17
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,SECAGEM,190.0
BELO HORIZONTE,ULTRAFORMER_III,Fevereiro,ULTRAFORMER FULLFACE,1690.0
BELO HORIZONTE,ULTRAFORMER_III,Fevereiro,ULTRAFORMER INTERNO COXA,1690.0
BELO HORIZONTE,ULTRAFORMER_III,Fevereiro,ULTRAFORMER PAPADA,840.0
BELO HORIZONTE,ULTRAFORMER_III,Janeiro,ULTRAFORMER FULLFACE,2060.0
BELO HORIZONTE,ULTRAFORMER_III,Janeiro,ULTRAFORMER OLHOS,990.0
BELO HORIZONTE,ULTRAFORMER_III,Janeiro,ULTRAFORMER PAPADA,990.0
BELO HORIZONTE,ULTRAFORMER_III,Maio,ULTRAFORMER FULLFACE,1690.0
BELO HORIZONTE,ULTRAFORMER_III,Maio,ULTRAFORMER INTERNO COXA,1690.0
BELO HORIZONTE,ULTRAFORMER_III,Maio,ULTRAFORMER PAPADA,690.0
BELO HORIZONTE,ULTRAFORMER_III,Maio,ULTRAFORMER PESCOÇO,1200.0
BELO HORIZONTE,ULTRAFORMER_III,Março,ULTRAFORMER FULLFACE,1690.9
BELO HORIZONTE,ULTRAFORMER_III,Março,ULTRAFORMER FULLFACE + PESCOÇO,2360.0
BELO HORIZONTE,ULTRAFORMER_III,Março,ULTRAFORMER OLHOS,690.0
BELO HORIZONTE,ULTRAFORMER_III,Março,ULTRAFORMER PAPADA,690.0
CAMPINAS,ESTÉTICA,Agosto,CARBOXITERAPIA,98.0
CAMPINAS,ESTÉTICA,Agosto,CRIOLIPÓLISE,337.0
CAMPINAS,ESTÉTICA,Agosto,DRENAGEM,95.62
CAMPINAS,ESTÉTICA,Agosto,HECCUS,99.0
CAMPINAS,ESTÉTICA,Agosto,LIMPEZA DE PELE,90.0
CAMPINAS,ESTÉTICA,Agosto,PRÓ-SHAPE,99.0
CAMPINAS,ESTÉTICA,Agosto,RADIOFREQUÊNCIA,79.0
CAMPINAS,ESTÉTICA,Fevereiro,CARBOXITERAPIA,142.0
CAMPINAS,ESTÉTICA,Fevereiro,CRIOLIPÓLISE,440.0
CAMPINAS,ESTÉTICA,Fevereiro,DRENAGEM,98.04
CAMPINAS,ESTÉTICA,Fevereiro,HECCUS,99.0
CAMPINAS,ESTÉTICA,Fevereiro,LIMPEZA DE PELE,66.46
CAMPINAS,ESTÉTICA,Fevereiro,PEELING DE DIAMANTE,135.53
CAMPINAS,ESTÉTICA,Janeiro,CARBOXITERAPIA,99.1
CAMPINAS,ESTÉTICA,Janeiro,CRIOLIPÓLISE,390.0
CAMPINAS,ESTÉTICA,Janeiro,DRENAGEM,94.16
CAMPINAS,ESTÉTICA,Janeiro,DRENAGEM 30 MIN,59.0
CAMPINAS,ESTÉTICA,Janeiro,HECCUS,102.75
CAMPINAS,ESTÉTICA,Janeiro,HIDRATAÇÃO,129.6
CAMPINAS,ESTÉTICA,Janeiro,LIMPEZA DE PELE,90.0
CAMPINAS,ESTÉTICA,Janeiro,PEELING DE DIAMANTE,100.0
CAMPINAS,ESTÉTICA,Janeiro,PRÓ- SHAPE,120.0
CAMPINAS,ESTÉTICA,Julho,CARBOXITERAPIA,127.8
CAMPINAS,ESTÉTICA,Julho,CRIOLIPÓLISE,295.0
CAMPINAS,ESTÉTICA,Julho,DRENAGEM,142.0
CAMPINAS,ESTÉTICA,Julho,LIMPEZA DE PELE,82.26
CAMPINAS,ESTÉTICA,Junho,CARBOXITERAPIA,100.6
CAMPINAS,ESTÉTICA,Junho,CRIOLIPÓLISE,343.75
CAMPINAS,ESTÉTICA,Junho,DRENAGEM,121.83
CAMPINAS,ESTÉTICA,Junho,HECCUS,99.0
CAMPINAS,ESTÉTICA,Junho,LIMPEZA DE PELE,75.88
CAMPINAS,ESTÉTICA,Junho,PRÓ- SHAPE,125.94
CAMPINAS,ESTÉTICA,Maio,CARBOXITERAPIA,99.13
CAMPINAS,ESTÉTICA,Maio,CRIOLIPÓLISE,275.0
CAMPINAS,ESTÉTICA,Maio,DRENAGEM,91.07
CAMPINAS,ESTÉTICA,Maio,HECCUS,99.4
CAMPINAS,ESTÉTICA,Maio,LIMPEZA DE PELE,81.76
CAMPINAS,ESTÉTICA,Maio,PRÓ- SHAPE,105.0
CAMPINAS,ESTÉTICA,Março,CARBOXITERAPIA,59.7
CAMPINAS,ESTÉTICA,Março,CRIOLIPÓLISE,281.25
CAMPINAS,ESTÉTICA,Março,DRENAGEM,85.89
CAMPINAS,ESTÉTICA,Março,DRENAGEM 30 MIN,58.32
CAMPINAS,ESTÉTICA,Março,HECCUS,93.47
CAMPINAS,ESTÉTICA,Março,LIMPEZA DE PELE,79.41
CAMPINAS,ESTÉTICA,Março,PEELING DE DIAMANTE,114.3
CAMPINAS,ESTÉTICA,Março,PRÓ- SHAPE,150.0
CAMPINAS,ESTÉTICA,Março,PRÓ-SHAPE,100.0
CAMPINAS,ESTÉTICA,Março,RADIOFREQUÊNCIA,79.6
CAMPINAS,ESTÉTICA,Novembro,CRIOLIPÓLISE,470.0
CAMPINAS,ESTÉTICA,Novembro,DRENAGEM,99.0
CAMPINAS,ESTÉTICA,Novembro,DRENAGEM 30 MIN,59.0
CAMPINAS,ESTÉTICA,Novembro,HECCUS,94.06
CAMPINAS,ESTÉTICA,Novembro,LIMPEZA DE PELE,50.71
CAMPINAS,ESTÉTICA,Novembro,PRÓ- SHAPE,91.17
CAMPINAS,ESTÉTICA,Novembro,PRÓ-SHAPE,99.0
CAMPINAS,ESTÉTICA,Novembro,RADIOFREQUÊNCIA,95.96
CAMPINAS,ESTÉTICA,Outubro,CARBOXITERAPIA,100.67
CAMPINAS,ESTÉTICA,Outubro,CRIOLIPÓLISE,413.54
CAMPINAS,ESTÉTICA,Outubro,DRENAGEM,97.6
CAMPINAS,ESTÉTICA,Outubro,DRENAGEM 30 MIN,59.0
CAMPINAS,ESTÉTICA,Outubro,HECCUS,137.0
CAMPINAS,ESTÉTICA,Outubro,LIMPEZA DE PELE,90.0
CAMPINAS,ESTÉTICA,Outubro,PRÓ-SHAPE,95.0
CAMPINAS,ESTÉTICA,Setembro,CARBOXITERAPIA,83.33
CAMPINAS,ESTÉTICA,Setembro,CRIOLIPÓLISE,338.89
CAMPINAS,ESTÉTICA,Setembro,DRENAGEM,112.0
CAMPINAS,ESTÉTICA,Setembro,DRENAGEM 30 MIN,59.0
CAMPINAS,ESTÉTICA,Setembro,HECCUS,91.67
CAMPINAS,ESTÉTICA,Setembro,LIMPEZA DE PELE,90.0
CAMPINAS,ESTÉTICA,Setembro,PRÓ- SHAPE,137.5
CAMPINAS,ESTÉTICA,Setembro,PRÓ-SHAPE,99.0
CAMPINAS,ESTÉTICA,Setembro,RADIOFREQUÊNCIA,99.0
CAMPINAS,LAVIEEN,Agosto,LAVIEEN,330.7
CAMPINAS,LAVIEEN,Agosto,PRÓ-SÉRUM,150.0
CAMPINAS,LAVIEEN,Fevereiro,LAVIEEN,525.07
CAMPINAS,LAVIEEN,Janeiro,LAVIEEN,508.85
CAMPINAS,LAVIEEN,Julho,LAVIEEN,357.26
CAMPINAS,LAVIEEN,Julho,PRÓ-SÉRUM,150.0
CAMPINAS,LAVIEEN,Junho,LAVIEEN,332.86
CAMPINAS,LAVIEEN,Maio,LAVIEEN,322.49
CAMPINAS,LAVIEEN,Maio,PRÓ-SÉRUM,150.0
CAMPINAS,LAVIEEN,Março,LAVIEEN,414.5
CAMPINAS,LAVIEEN,Novembro,LAVIEEN,260.71
CAMPINAS,LAVIEEN,Outubro,LAVIEEN,410.67
CAMPINAS,LAVIEEN,Setembro,LAVIEEN,348.08
CAMPINAS,LAVIEEN,Setembro,PRÓ-SÉRUM,150.0
CAMPINAS,MEDICINA ESTÉTICA,Agosto,BOTOX LIGHT,526.33
CAMPINAS,MEDICINA ESTÉTICA,Agosto,BOTOX POWER,832.64
CAMPINAS,MEDICINA ESTÉTICA,Agosto,PREENCHIMENTO,855.68
CAMPINAS,MEDICINA ESTÉTICA,Agosto,PRÓ-LIPO,200.0
CAMPINAS,MEDICINA ESTÉTICA,Agosto,RADIESSE,1500.0
CAMPINAS,MEDICINA ESTÉTICA,Agosto,SCULPTRA,1862.5
CAMPINAS,MEDICINA ESTÉTICA,Agosto,SECAGEM,109.5
CAMPINAS,MEDICINA ESTÉTICA,Fevereiro,BOTOX LIGHT,700.0
CAMPINAS,MEDICINA ESTÉTICA,Fevereiro,BOTOX POWER,913.72
CAMPINAS,MEDICINA ESTÉTICA,Fevereiro,CO2 CICATRIZ,455.0
CAMPINAS,MEDICINA ESTÉTICA,Fevereiro,CO2 ROSTO,500.0
CAMPINAS,MEDICINA ESTÉTICA,Fevereiro,DERMAROLLER,590.0
CAMPINAS,MEDICINA ESTÉTICA,Fevereiro,PEELING QUÍMICO,290.0
CAMPINAS,MEDICINA ESTÉTICA,Fevereiro,PREENCHIMENTO,945.56
CAMPINAS,MEDICINA ESTÉTICA,Fevereiro,PRÓ-BELLA,220.0
CAMPINAS,MEDICINA ESTÉTICA,Fevereiro,PRÓ-LIPO,209.93
CAMPINAS,MEDICINA ESTÉTICA,Fevereiro,RADIESSE,1900.0
CAMPINAS,MEDICINA ESTÉTICA,Fevereiro,SCULPTRA,2100.0
CAMPINAS,MEDICINA ESTÉTICA,Fevereiro,SECAGEM,190.0
