Unidade,Grupo,Mês venda,Procedimentos Padronizados,Valor liquido item,Margem de Contribuição (R$),Margem de Contribuição (%)
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,RADIESSE,1520.0,301.03,19.80447368421053
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,SCULPTRA,7600.0,1224.32,16.109473684210528
ALPHAVILLE,ULTRAFORMER_III,Abril,ULTRAFORMER FULLFACE,3670.0,1117.58,30.451716621253418
ALPHAVILLE,ULTRAFORMER_III,Agosto,ULTRAFORMER FULLFACE,27050.0,7311.15,27.028280961183
ALPHAVILLE,ULTRAFORMER_III,Agosto,ULTRAFORMER INTERNO COXA,1500.0,-285.02,-19.001333333333324
ALPHAVILLE,ULTRAFORMER_III,Agosto,ULTRAFORMER MAÇA DO ROSTO,4400.0,1421.28,32.301818181818184
ALPHAVILLE,ULTRAFORMER_III,Agosto,ULTRAFORMER OLHOS,2373.0,944.55,39.80422250316056
ALPHAVILLE,ULTRAFORMER_III,Agosto,ULTRAFORMER PAPADA,6066.75,2254.53,37.161996950591345
ALPHAVILLE,ULTRAFORMER_III,Agosto,ULTRAFORMER PESCOÇO,2125.0,572.74,26.952235294117656
ALPHAVILLE,ULTRAFORMER_III,Julho,ULTRAFORMER FULLFACE,8630.0,2409.5,27.9200695249131
ALPHAVILLE,ULTRAFORMER_III,Julho,ULTRAFORMER MAÇA DO ROSTO,2880.0,769.69,26.725416666666668
ALPHAVILLE,ULTRAFORMER_III,Julho,ULTRAFORMER OLHOS,1683.0,700.95,41.64873440285205
ALPHAVILLE,ULTRAFORMER_III,Julho,ULTRAFORMER PAPADA,2070.0,700.82,33.85594202898552
ALPHAVILLE,ULTRAFORMER_III,Junho,ULTRAFORMER FULLFACE,10440.0,2950.66,28.26298850574713
ALPHAVILLE,ULTRAFORMER_III,Junho,ULTRAFORMER MAÇA DO ROSTO,1700.0,357.94,21.055294117647062
ALPHAVILLE,ULTRAFORMER_III,Junho,ULTRAFORMER PAPADA,2760.0,934.42,33.85594202898551
ALPHAVILLE,ULTRAFORMER_III,Junho,ULTRAFORMER PESCOÇO,690.0,23.61,3.4211594202898583
ALPHAVILLE,ULTRAFORMER_III,Maio,ULTRAFORMER FULLFACE,14480.0,4329.23,29.89801104972376
ALPHAVILLE,ULTRAFORMER_III,Maio,ULTRAFORMER MAÇA DO ROSTO,980.0,270.67,27.619591836734696
ALPHAVILLE,ULTRAFORMER_III,Maio,ULTRAFORMER PAPADA,792.0,305.56,38.58040404040404
ALPHAVILLE,ULTRAFORMER_III,Novembro,ULTRAFORMER FULLFACE,11564.0,3007.91,26.010944309927357
ALPHAVILLE,ULTRAFORMER_III,Novembro,ULTRAFORMER FULLFACE + PESCOÇO,2500.0,744.42,29.77680000000001
ALPHAVILLE,ULTRAFORMER_III,Novembro,ULTRAFORMER MAÇA DO ROSTO,990.0,277.73,28.053131313131313
ALPHAVILLE,ULTRAFORMER_III,Novembro,ULTRAFORMER OLHOS,690.0,243.61,35.30521739130435
ALPHAVILLE,ULTRAFORMER_III,Novembro,ULTRAFORMER PAPADA,690.0,233.61,33.85594202898551
ALPHAVILLE,ULTRAFORMER_III,Novembro,ULTRAFORMER PESCOÇO,1000.0,242.28,24.228
ALPHAVILLE,ULTRAFORMER_III,Outubro,ULTRAFORMER FULLFACE,11660.0,3075.62,26.377564322469986
ALPHAVILLE,ULTRAFORMER_III,Outubro,ULTRAFORMER MAÇA DO ROSTO,3050.0,889.61,29.16754098360656
ALPHAVILLE,ULTRAFORMER_III,Outubro,ULTRAFORMER OLHOS,2190.0,815.47,37.2358904109589
ALPHAVILLE,ULTRAFORMER_III,Outubro,ULTRAFORMER PAPADA,5519.0,1868.14,33.84929516216706
ALPHAVILLE,ULTRAFORMER_III,Setembro,ULTRAFORMER FULLFACE,21840.0,5842.88,26.753095238095238
ALPHAVILLE,ULTRAFORMER_III,Setembro,ULTRAFORMER MAÇA DO ROSTO,2000.0,569.56,28.478
ALPHAVILLE,ULTRAFORMER_III,Setembro,ULTRAFORMER OLHOS,1380.0,487.21,35.30521739130435
ALPHAVILLE,ULTRAFORMER_III,Setembro,ULTRAFORMER PAPADA,6969.0,2384.73,34.219150523748034
ALPHAVILLE,ULTRAFORMER_III,Setembro,ULTRAFORMER PESCOÇO,2070.0,533.94,25.79410628019324
BELO HORIZONTE,ESTÉTICA,Abril,CRIOLIPÓLISE,1510.0,652.47,43.210198675496684
BELO HORIZONTE,ESTÉTICA,Abril,DRENAGEM,1930.0,667.58,34.589740932642485
BELO HORIZONTE,ESTÉTICA,Abril,DRENAGEM 30 MIN,236.0,97.43,41.2857627118644
BELO HORIZONTE,ESTÉTICA,Abril,HECCUS,1350.0,736.29,54.54
BELO HORIZONTE,ESTÉTICA,Abril,LIMPEZA DE PELE,2860.0,666.28,23.296643356643358
BELO HORIZONTE,ESTÉTICA,Abril,PRÓ- SHAPE,300.0,132.22,44.07333333333333
BELO HORIZONTE,ESTÉTICA,Abril,RADIOFREQUÊNCIA,1007.8,453.05,44.954566382218694
BELO HORIZONTE,ESTÉTICA,Fevereiro,CRIOLIPÓLISE,4014.0,1490.27,37.12669656203288
BELO HORIZONTE,ESTÉTICA,Fevereiro,DRENAGEM,3555.0,1206.75,33.94506329113924
BELO HORIZONTE,ESTÉTICA,Fevereiro,DRENAGEM 30 MIN,590.0,243.59,41.28576271186441
BELO HORIZONTE,ESTÉTICA,Fevereiro,HECCUS,99.0,48.23,48.721818181818186
BELO HORIZONTE,ESTÉTICA,Fevereiro,HIDRATAÇÃO,363.4,117.38,32.30114474408366
BELO HORIZONTE,ESTÉTICA,Fevereiro,LIMPEZA DE PELE,2900.0,58.66,2.022758620689659
BELO HORIZONTE,ESTÉTICA,Fevereiro,RADIOFREQUÊNCIA,900.0,348.36,38.70666666666666
BELO HORIZONTE,ESTÉTICA,Julho,CRIOLIPÓLISE,299.0,107.74,36.03498327759197
BELO HORIZONTE,ESTÉTICA,Julho,DRENAGEM,790.0,268.17,33.945063291139235
BELO HORIZONTE,ESTÉTICA,Maio,CRIOLIPÓLISE,550.0,284.8,51.78181818181818
BELO HORIZONTE,ESTÉTICA,Maio,LIMPEZA DE PELE,380.0,29.61,7.792631578947369
BELO HORIZONTE,ESTÉTICA,Maio,RADIOFREQUÊNCIA,99.4,41.47,41.71706237424547
BELO HORIZONTE,ESTÉTICA,Março,CARBOXITERAPIA,568.0,280.07,49.30760563380282
BELO HORIZONTE,ESTÉTICA,Março,CRIOLIPÓLISE,1140.0,494.65,43.38999999999999
BELO HORIZONTE,ESTÉTICA,Março,DRENAGEM,2370.0,804.5,33.94506329113924
BELO HORIZONTE,ESTÉTICA,Março,HECCUS,1900.8,952.02,50.08545454545455
BELO HORIZONTE,ESTÉTICA,Março,LIMPEZA DE PELE,1990.0,330.77,16.62140703517588
BELO HORIZONTE,ESTÉTICA,Março,PEELING DE DIAMANTE,465.1,197.24,42.40841539453881
BELO HORIZONTE,ESTÉTICA,Março,RADIOFREQUÊNCIA,1702.8,685.46,40.25458773784355
BELO HORIZONTE,LAVIEEN,Abril,LAVIEEN,4439.0,1970.27,44.38546068934445
BELO HORIZONTE,LAVIEEN,Abril,PRÓ-SÉRUM,1200.0,308.56,25.71333333333334
BELO HORIZONTE,LAVIEEN,Fevereiro,LAVIEEN,14623.0,6638.56,45.39810025302606
BELO HORIZONTE,LAVIEEN,Maio,PRÓ-SÉRUM,300.0,77.14,25.71333333333334
BELO HORIZONTE,LAVIEEN,Março,LAVIEEN,7480.0,3438.14,45.964465240641715
BELO HORIZONTE,MEDICINA ESTÉTICA,Abril,BOTOX POWER,18016.5,6244.62,34.660556156856224
BELO HORIZONTE,MEDICINA ESTÉTICA,Abril,CO2 ROSTO,1680.0,686.59,40.86857142857143
BELO HORIZONTE,MEDICINA ESTÉTICA,Abril,PEELING QUÍMICO,870.0,519.68,59.73310344827587
BELO HORIZONTE,MEDICINA ESTÉTICA,Abril,PREENCHIMENTO,15115.2,5301.86,35.07636074944428
BELO HORIZONTE,MEDICINA ESTÉTICA,Abril,PRÓ-BELLA,986.0,427.12,43.318904665314406
BELO HORIZONTE,MEDICINA ESTÉTICA,Abril,PRÓ-LIPO,3020.0,1632.19,54.045960264900664
BELO HORIZONTE,MEDICINA ESTÉTICA,Abril,RADIESSE,2000.0,639.62,31.98100000000001
BELO HORIZONTE,MEDICINA ESTÉTICA,Abril,SCULPTRA,21450.0,3754.85,17.505128205128205
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,BOTOX LIGHT,1770.0,761.18,43.00440677966101
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,BOTOX POWER,12570.0,4557.4,36.25614956245028
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,PEELING QUÍMICO,290.0,173.23,59.73310344827587
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,PREENCHIMENTO,7890.0,2885.41,36.57041825095058
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,PRÓ-LIPO,990.0,490.8,49.57535353535354
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,PRÓ-MESO,200.0,95.26,47.63000000000001
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,RADIESSE,3400.0,856.0,25.1764705882353
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,SCULPTRA,12425.0,2559.52,20.599718309859156
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,SECAGEM,380.0,223.05,58.697894736842116
BELO HORIZONTE,MEDICINA ESTÉTICA,Julho,BOTOX POWER,801.0,257.21,32.1105368289638
BELO HORIZONTE,MEDICINA ESTÉTICA,Julho,SCULPTRA,2300.0,588.24,25.575652173913042
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,BOTOX POWER,8029.92,2893.93,36.03928268276646
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,DERMAROLLER,472.0,217.47,46.07389830508474
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,PEELING QUÍMICO,290.0,173.23,59.73310344827587
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,PREENCHIMENTO,6758.0,2682.49,39.69359573838414
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,PRÓ-LIPO,290.0,163.06,56.22620689655173
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,SCULPTRA,3600.0,471.08,13.085555555555553
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,BOTOX LIGHT,1090.0,443.97,40.73082568807339
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,BOTOX POWER,13333.0,4479.98,33.60067651691293
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,PEELING QUÍMICO,490.0,282.97,57.74816326530613
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,PREENCHIMENTO,10609.0,3909.99,36.855392591196164
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,PRÓ-LIPO,4215.2,2101.69,49.859842474852925
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,SCULPTRA,11389.0,1828.72,16.056902274124155
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,SECAGEM,380.0,223.05,58.697894736842116
BELO HORIZONTE,ULTRAFORMER_III,Abril,ULTRAFORMER FULLFACE,26300.0,7517.72,28.584486692015215
BELO HORIZONTE,ULTRAFORMER_III,Abril,ULTRAFORMER FULLFACE + PESCOÇO,4780.0,1333.65,27.90066945606695
BELO HORIZONTE,ULTRAFORMER_III,Abril,ULTRAFORMER INTERNO COXA,1690.0,-150.99,-8.934556213017743
BELO HORIZONTE,ULTRAFORMER_III,Abril,ULTRAFORMER OLHOS,790.0,314.15,39.7653164556962
BELO HORIZONTE,ULTRAFORMER_III,Abril,ULTRAFORMER PAPADA,3601.5,1274.9,35.39908649173956
BELO HORIZONTE,ULTRAFORMER_III,Fevereiro,ULTRAFORMER FULLFACE,8450.0,2282.53,27.012189349112433
BELO HORIZONTE,ULTRAFORMER_III,Fevereiro,ULTRAFORMER INTERNO COXA,1690.0,-150.99,-8.934556213017743
BELO HORIZONTE,ULTRAFORMER_III,Fevereiro,ULTRAFORMER PAPADA,1680.0,678.83,40.406666666666666
BELO HORIZONTE,ULTRAFORMER_III,Maio,ULTRAFORMER FULLFACE,1690.0,456.51,27.012189349112425
BELO HORIZONTE,ULTRAFORMER_III,Maio,ULTRAFORMER INTERNO COXA,1690.0,-150.99,-8.934556213017743
BELO HORIZONTE,ULTRAFORMER_III,Maio,ULTRAFORMER PAPADA,690.0,233.61,33.85594202898551
BELO HORIZONTE,ULTRAFORMER_III,Maio,ULTRAFORMER PESCOÇO,1200.0,383.36,31.94666666666667
BELO HORIZONTE,ULTRAFORMER_III,Março,ULTRAFORMER FULLFACE,16909.0,4571.41,27.035357501922057
BELO HORIZONTE,ULTRAFORMER_III,Março,ULTRAFORMER FULLFACE + PESCOÇO,7080.0,1936.99,27.358644067796618
BELO HORIZONTE,ULTRAFORMER_III,Março,ULTRAFORMER OLHOS,690.0,243.61,35.30521739130435
BELO HORIZONTE,ULTRAFORMER_III,Março,ULTRAFORMER PAPADA,2070.0,700.82,33.85594202898552
CAMPINAS,ESTÉTICA,Abril,CARBOXITERAPIA,1872.0,886.35,47.347692307692306
CAMPINAS,ESTÉTICA,Abril,CRIOLIPÓLISE,4675.0,1853.36,39.644171122994656
CAMPINAS,ESTÉTICA,Abril,DRENAGEM,8173.0,3192.24,39.058414290958034
CAMPINAS,ESTÉTICA,Abril,DRENAGEM 30 MIN,707.0,274.34,38.80308345120226
CAMPINAS,ESTÉTICA,Abril,HECCUS,1350.0,736.29,54.54
CAMPINAS,ESTÉTICA,Abril,LIMPEZA DE PELE,5630.0,990.9,17.600390763765542
CAMPINAS,ESTÉTICA,Abril,PEELING DE DIAMANTE,160.0,14.73,9.208750000000002
CAMPINAS,ESTÉTICA,Abril,PRÓ-SHAPE,2290.0,821.37,35.867510917030565
CAMPINAS,ESTÉTICA,Abril,RADIOFREQUÊNCIA,830.0,384.93,46.37734939759036
CAMPINAS,ESTÉTICA,Agosto,CARBOXITERAPIA,876.0,400.85,45.759178082191774
