Unidade,Grupo,Mês venda,Procedimentos Padronizados,Quantidade
ALPHAVILLE,ESTÉTICA,Outubro,DRENAGEM,89.0
ALPHAVILLE,ESTÉTICA,Outubro,DRENAGEM 30 MIN,16.0
ALPHAVILLE,ESTÉTICA,Outubro,HECCUS,20.0
ALPHAVILLE,ESTÉTICA,Outubro,HIDRATAÇÃO,1.0
ALPHAVILLE,ESTÉTICA,Outubro,LIMPEZA DE PELE,65.0
ALPHAVILLE,ESTÉTICA,Outubro,PRÓ- SHAPE,40.0
ALPHAVILLE,ESTÉTICA,Outubro,RADIOFREQUÊNCIA,35.0
ALPHAVILLE,ESTÉTICA,Setembro,CARBOXITERAPIA,11.0
ALPHAVILLE,ESTÉTICA,Setembro,CRIOLIPÓLISE,27.0
ALPHAVILLE,ESTÉTICA,Setembro,DRENAGEM,65.0
ALPHAVILLE,ESTÉTICA,Setembro,DRENAGEM 30 MIN,5.0
ALPHAVILLE,ESTÉTICA,Setembro,LIMPEZA DE PELE,75.0
ALPHAVILLE,ESTÉTICA,Setembro,PEELING DE DIAMANTE,5.0
ALPHAVILLE,ESTÉTICA,Setembro,PRÓ- SHAPE,6.0
ALPHAVILLE,ESTÉTICA,Setembro,RADIOFREQUÊNCIA,8.0
ALPHAVILLE,LAVIEEN,Agosto,LAVIEEN,45.0
ALPHAVILLE,LAVIEEN,Agosto,PRÓ-SÉRUM,31.0
ALPHAVILLE,LAVIEEN,Julho,LAVIEEN,39.0
ALPHAVILLE,LAVIEEN,Julho,PRÓ-SÉRUM,24.0
ALPHAVILLE,LAVIEEN,Junho,LAVIEEN,36.0
ALPHAVILLE,LAVIEEN,Junho,PRÓ-SÉRUM,39.0
ALPHAVILLE,LAVIEEN,Maio,LAVIEEN,20.0
ALPHAVILLE,LAVIEEN,Maio,PRÓ-SÉRUM,15.0
ALPHAVILLE,LAVIEEN,Novembro,LAVIEEN,74.0
ALPHAVILLE,LAVIEEN,Novembro,PRÓ-SÉRUM,16.0
ALPHAVILLE,LAVIEEN,Outubro,LAVIEEN,51.0
ALPHAVILLE,LAVIEEN,Outubro,PRÓ-SÉRUM,30.0
ALPHAVILLE,LAVIEEN,Setembro,LAVIEEN,52.0
ALPHAVILLE,LAVIEEN,Setembro,PRÓ-SÉRUM,25.0
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,BOTOX LIGHT,1.0
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,BOTOX POWER,18.0
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,PEELING QUÍMICO,1.0
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,PREENCHIMENTO,8.0
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,PRÓ-LIPO,5.0
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,PRÓ-MESO,5.0
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,RADIESSE,2.0
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,SCULPTRA,4.0
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,SECAGEM,7.0
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,BOTOX LIGHT,4.0
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,BOTOX POWER,21.0
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,PEELING QUÍMICO,5.0
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,PREENCHIMENTO,6.0
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,PRÓ-LIPO,7.0
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,SCULPTRA,2.0
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,SECAGEM,3.0
ALPHAVILLE,MEDICINA ESTÉTICA,Junho,BOTOX LIGHT,1.0
ALPHAVILLE,MEDICINA ESTÉTICA,Junho,BOTOX POWER,8.0
ALPHAVILLE,MEDICINA ESTÉTICA,Junho,PEELING QUÍMICO,4.0
ALPHAVILLE,MEDICINA ESTÉTICA,Junho,PREENCHIMENTO,6.0
ALPHAVILLE,MEDICINA ESTÉTICA,Junho,PRÓ-BELLA,2.0
ALPHAVILLE,MEDICINA ESTÉTICA,Junho,PRÓ-LIPO,19.0
ALPHAVILLE,MEDICINA ESTÉTICA,Junho,SCULPTRA,8.0
ALPHAVILLE,MEDICINA ESTÉTICA,Maio,BOTOX LIGHT,1.0
ALPHAVILLE,MEDICINA ESTÉTICA,Maio,BOTOX POWER,9.0
ALPHAVILLE,MEDICINA ESTÉTICA,Maio,PEELING QUÍMICO,5.0
ALPHAVILLE,MEDICINA ESTÉTICA,Maio,PREENCHIMENTO,3.0
ALPHAVILLE,MEDICINA ESTÉTICA,Maio,PRÓ-LIPO,14.0
ALPHAVILLE,MEDICINA ESTÉTICA,Maio,SCULPTRA,3.0
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,BOTOX LIGHT,9.0
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,BOTOX POWER,16.0
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,DERMAROLLER,3.0
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,GLÚTEO MAX,5.0
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,PEELING QUÍMICO,2.0
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,PREENCHIMENTO,11.0
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,PRÓ-LIPO,14.0
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,RADIESSE,3.0
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,SCULPTRA,6.0
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,BOTOX LIGHT,5.0
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,BOTOX POWER,12.0
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,DERMAROLLER,3.0
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,ENZIMA MELASMA,3.0
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,PREENCHIMENTO,9.0
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,PRÓ-BELLA,5.0
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,PRÓ-LIPO,20.0
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,SCULPTRA,2.0
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,BOTOX LIGHT,6.0
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,BOTOX POWER,16.0
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,PREENCHIMENTO,6.0
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,PRÓ-LIPO,33.0
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,RADIESSE,1.0
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,SCULPTRA,4.0
ALPHAVILLE,ULTRAFORMER_III,Agosto,ULTRAFORMER FULLFACE,16.0
ALPHAVILLE,ULTRAFORMER_III,Agosto,ULTRAFORMER INTERNO COXA,1.0
ALPHAVILLE,ULTRAFORMER_III,Agosto,ULTRAFORMER MAÇA DO ROSTO,4.0
ALPHAVILLE,ULTRAFORMER_III,Agosto,ULTRAFORMER OLHOS,3.0
ALPHAVILLE,ULTRAFORMER_III,Agosto,ULTRAFORMER PAPADA,8.0
ALPHAVILLE,ULTRAFORMER_III,Agosto,ULTRAFORMER PESCOÇO,2.0
ALPHAVILLE,ULTRAFORMER_III,Julho,ULTRAFORMER FULLFACE,5.0
ALPHAVILLE,ULTRAFORMER_III,Julho,ULTRAFORMER MAÇA DO ROSTO,3.0
ALPHAVILLE,ULTRAFORMER_III,Julho,ULTRAFORMER OLHOS,2.0
ALPHAVILLE,ULTRAFORMER_III,Julho,ULTRAFORMER PAPADA,3.0
ALPHAVILLE,ULTRAFORMER_III,Junho,ULTRAFORMER FULLFACE,6.0
ALPHAVILLE,ULTRAFORMER_III,Junho,ULTRAFORMER MAÇA DO ROSTO,2.0
ALPHAVILLE,ULTRAFORMER_III,Junho,ULTRAFORMER PAPADA,4.0
ALPHAVILLE,ULTRAFORMER_III,Junho,ULTRAFORMER PESCOÇO,1.0
ALPHAVILLE,ULTRAFORMER_III,Maio,ULTRAFORMER FULLFACE,8.0
ALPHAVILLE,ULTRAFORMER_III,Maio,ULTRAFORMER MAÇA DO ROSTO,1.0
ALPHAVILLE,ULTRAFORMER_III,Maio,ULTRAFORMER PAPADA,1.0
ALPHAVILLE,ULTRAFORMER_III,Novembro,ULTRAFORMER FULLFACE,13.0
ALPHAVILLE,ULTRAFORMER_III,Novembro,ULTRAFORMER FULLFACE + PESCOÇO,1.0
ALPHAVILLE,ULTRAFORMER_III,Novembro,ULTRAFORMER MAÇA DO ROSTO,2.0
ALPHAVILLE,ULTRAFORMER_III,Novembro,ULTRAFORMER OLHOS,11.0
ALPHAVILLE,ULTRAFORMER_III,Novembro,ULTRAFORMER PAPADA,10.0
ALPHAVILLE,ULTRAFORMER_III,Novembro,ULTRAFORMER PESCOÇO,2.0
ALPHAVILLE,ULTRAFORMER_III,Outubro,ULTRAFORMER FULLFACE,7.0
ALPHAVILLE,ULTRAFORMER_III,Outubro,ULTRAFORMER MAÇA DO ROSTO,3.0
ALPHAVILLE,ULTRAFORMER_III,Outubro,ULTRAFORMER OLHOS,3.0
ALPHAVILLE,ULTRAFORMER_III,Outubro,ULTRAFORMER PAPADA,8.0
ALPHAVILLE,ULTRAFORMER_III,Setembro,ULTRAFORMER FULLFACE,13.0
ALPHAVILLE,ULTRAFORMER_III,Setembro,ULTRAFORMER MAÇA DO ROSTO,2.0
ALPHAVILLE,ULTRAFORMER_III,Setembro,ULTRAFORMER OLHOS,2.0
ALPHAVILLE,ULTRAFORMER_III,Setembro,ULTRAFORMER PAPADA,10.0
ALPHAVILLE,ULTRAFORMER_III,Setembro,ULTRAFORMER PESCOÇO,2.0
BELO HORIZONTE,ESTÉTICA,Fevereiro,CRIOLIPÓLISE,13.0
BELO HORIZONTE,ESTÉTICA,Fevereiro,DRENAGEM,45.0
BELO HORIZONTE,ESTÉTICA,Fevereiro,DRENAGEM 30 MIN,10.0
BELO HORIZONTE,ESTÉTICA,Fevereiro,HECCUS,1.0
BELO HORIZONTE,ESTÉTICA,Fevereiro,HIDRATAÇÃO,6.0
BELO HORIZONTE,ESTÉTICA,Fevereiro,LIMPEZA DE PELE,50.0
BELO HORIZONTE,ESTÉTICA,Fevereiro,RADIOFREQUÊNCIA,10.0
BELO HORIZONTE,ESTÉTICA,Janeiro,CARBOXITERAPIA,10.0
BELO HORIZONTE,ESTÉTICA,Janeiro,CRIOLIPÓLISE,10.0
BELO HORIZONTE,ESTÉTICA,Janeiro,DRENAGEM,38.0
BELO HORIZONTE,ESTÉTICA,Janeiro,HECCUS,10.0
BELO HORIZONTE,ESTÉTICA,Janeiro,LIMPEZA DE PELE,25.0
BELO HORIZONTE,ESTÉTICA,Janeiro,PEELING DE DIAMANTE,1.0
BELO HORIZONTE,ESTÉTICA,Janeiro,PRÓ- SHAPE,10.0
BELO HORIZONTE,ESTÉTICA,Julho,CRIOLIPÓLISE,1.0
BELO HORIZONTE,ESTÉTICA,Julho,DRENAGEM,10.0
BELO HORIZONTE,ESTÉTICA,Maio,CRIOLIPÓLISE,1.0
BELO HORIZONTE,ESTÉTICA,Maio,LIMPEZA DE PELE,6.0
BELO HORIZONTE,ESTÉTICA,Maio,RADIOFREQUÊNCIA,1.0
BELO HORIZONTE,ESTÉTICA,Março,CARBOXITERAPIA,5.0
BELO HORIZONTE,ESTÉTICA,Março,CRIOLIPÓLISE,3.0
BELO HORIZONTE,ESTÉTICA,Março,DRENAGEM,30.0
BELO HORIZONTE,ESTÉTICA,Março,HECCUS,18.0
BELO HORIZONTE,ESTÉTICA,Março,LIMPEZA DE PELE,27.0
BELO HORIZONTE,ESTÉTICA,Março,PEELING DE DIAMANTE,4.0
BELO HORIZONTE,ESTÉTICA,Março,RADIOFREQUÊNCIA,18.0
BELO HORIZONTE,LAVIEEN,Fevereiro,LAVIEEN,38.0
BELO HORIZONTE,LAVIEEN,Janeiro,LAVIEEN,41.0
BELO HORIZONTE,LAVIEEN,Maio,PRÓ-SÉRUM,2.0
BELO HORIZONTE,LAVIEEN,Março,LAVIEEN,19.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,BOTOX LIGHT,3.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,BOTOX POWER,14.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,PEELING QUÍMICO,1.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,PREENCHIMENTO,9.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,PRÓ-LIPO,5.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,PRÓ-MESO,1.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,RADIESSE,2.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,SCULPTRA,6.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Fevereiro,SECAGEM,2.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Janeiro,BOTOX LIGHT,2.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Janeiro,BOTOX POWER,21.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Janeiro,ENZIMA MELASMA,1.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Janeiro,PEELING QUÍMICO,6.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Janeiro,PREENCHIMENTO,17.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Janeiro,PRÓ-LIPO,64.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Janeiro,RADIESSE,3.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Janeiro,SCULPTRA,15.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Janeiro,SECAGEM,2.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Julho,BOTOX POWER,1.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Julho,SCULPTRA,1.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,BOTOX POWER,9.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,DERMAROLLER,1.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,PEELING QUÍMICO,1.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,PREENCHIMENTO,7.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,PRÓ-LIPO,1.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Maio,SCULPTRA,2.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,BOTOX LIGHT,2.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,BOTOX POWER,16.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,PEELING QUÍMICO,2.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,PREENCHIMENTO,12.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,PRÓ-LIPO,21.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,SCULPTRA,6.0
BELO HORIZONTE,MEDICINA ESTÉTICA,Março,SECAGEM,2.0
BELO HORIZONTE,ULTRAFORMER_III,Fevereiro,ULTRAFORMER FULLFACE,5.0
BELO HORIZONTE,ULTRAFORMER_III,Fevereiro,ULTRAFORMER INTERNO COXA,1.0
BELO HORIZONTE,ULTRAFORMER_III,Fevereiro,ULTRAFORMER PAPADA,2.0
BELO HORIZONTE,ULTRAFORMER_III,Janeiro,ULTRAFORMER FULLFACE,3.0
BELO HORIZONTE,ULTRAFORMER_III,Janeiro,ULTRAFORMER OLHOS,1.0
BELO HORIZONTE,ULTRAFORMER_III,Janeiro,ULTRAFORMER PAPADA,1.0
BELO HORIZONTE,ULTRAFORMER_III,Maio,ULTRAFORMER FULLFACE,1.0
BELO HORIZONTE,ULTRAFORMER_III,Maio,ULTRAFORMER INTERNO COXA,1.0
BELO HORIZONTE,ULTRAFORMER_III,Maio,ULTRAFORMER PAPADA,1.0
BELO HORIZONTE,ULTRAFORMER_III,Maio,ULTRAFORMER PESCOÇO,1.0
BELO HORIZONTE,ULTRAFORMER_III,Março,ULTRAFORMER FULLFACE,10.0
BELO HORIZONTE,ULTRAFORMER_III,Março,ULTRAFORMER FULLFACE + PESCOÇO,3.0
BELO HORIZONTE,ULTRAFORMER_III,Março,ULTRAFORMER OLHOS,1.0
BELO HORIZONTE,ULTRAFORMER_III,Março,ULTRAFORMER PAPADA,3.0
CAMPINAS,ESTÉTICA,Agosto,CARBOXITERAPIA,9.0
CAMPINAS,ESTÉTICA,Agosto,CRIOLIPÓLISE,16.0
CAMPINAS,ESTÉTICA,Agosto,DRENAGEM,76.0
CAMPINAS,ESTÉTICA,Agosto,HECCUS,3.0
CAMPINAS,ESTÉTICA,Agosto,LIMPEZA DE PELE,38.0
CAMPINAS,ESTÉTICA,Agosto,PRÓ-SHAPE,40.0
CAMPINAS,ESTÉTICA,Agosto,RADIOFREQUÊNCIA,10.0
CAMPINAS,ESTÉTICA,Fevereiro,CARBOXITERAPIA,1.0
CAMPINAS,ESTÉTICA,Fevereiro,CRIOLIPÓLISE,1.0
CAMPINAS,ESTÉTICA,Fevereiro,DRENAGEM,50.0
CAMPINAS,ESTÉTICA,Fevereiro,HECCUS,28.0
CAMPINAS,ESTÉTICA,Fevereiro,LIMPEZA DE PELE,77.0
CAMPINAS,ESTÉTICA,Fevereiro,PEELING DE DIAMANTE,3.0
CAMPINAS,ESTÉTICA,Janeiro,CARBOXITERAPIA,21.0
CAMPINAS,ESTÉTICA,Janeiro,CRIOLIPÓLISE,5.0
CAMPINAS,ESTÉTICA,Janeiro,DRENAGEM,79.0
CAMPINAS,ESTÉTICA,Janeiro,DRENAGEM 30 MIN,11.0
CAMPINAS,ESTÉTICA,Janeiro,HECCUS,11.0
CAMPINAS,ESTÉTICA,Janeiro,HIDRATAÇÃO,1.0
CAMPINAS,ESTÉTICA,Janeiro,LIMPEZA DE PELE,66.0
CAMPINAS,ESTÉTICA,Janeiro,PEELING DE DIAMANTE,2.0
CAMPINAS,ESTÉTICA,Janeiro,PRÓ- SHAPE,4.0
CAMPINAS,ESTÉTICA,Julho,CARBOXITERAPIA,5.0
CAMPINAS,ESTÉTICA,Julho,CRIOLIPÓLISE,8.0
CAMPINAS,ESTÉTICA,Julho,DRENAGEM,3.0
CAMPINAS,ESTÉTICA,Julho,LIMPEZA DE PELE,48.0
CAMPINAS,ESTÉTICA,Junho,CARBOXITERAPIA,30.0
CAMPINAS,ESTÉTICA,Junho,CRIOLIPÓLISE,11.0
CAMPINAS,ESTÉTICA,Junho,DRENAGEM,4.0
CAMPINAS,ESTÉTICA,Junho,HECCUS,5.0
CAMPINAS,ESTÉTICA,Junho,LIMPEZA DE PELE,69.0
CAMPINAS,ESTÉTICA,Junho,PRÓ- SHAPE,18.0
CAMPINAS,ESTÉTICA,Maio,CARBOXITERAPIA,16.0
CAMPINAS,ESTÉTICA,Maio,CRIOLIPÓLISE,6.0
CAMPINAS,ESTÉTICA,Maio,DRENAGEM,37.0
CAMPINAS,ESTÉTICA,Maio,HECCUS,5.0
CAMPINAS,ESTÉTICA,Maio,LIMPEZA DE PELE,74.0
CAMPINAS,ESTÉTICA,Maio,PRÓ- SHAPE,5.0
CAMPINAS,ESTÉTICA,Março,CARBOXITERAPIA,10.0
CAMPINAS,ESTÉTICA,Março,CRIOLIPÓLISE,10.0
CAMPINAS,ESTÉTICA,Março,DRENAGEM,60.0
CAMPINAS,ESTÉTICA,Março,DRENAGEM 30 MIN,48.0
CAMPINAS,ESTÉTICA,Março,HECCUS,29.0
CAMPINAS,ESTÉTICA,Março,LIMPEZA DE PELE,55.0
CAMPINAS,ESTÉTICA,Março,PEELING DE DIAMANTE,2.0
CAMPINAS,ESTÉTICA,Março,PRÓ- SHAPE,1.0
CAMPINAS,ESTÉTICA,Março,PRÓ-SHAPE,20.0
CAMPINAS,ESTÉTICA,Março,RADIOFREQUÊNCIA,10.0
CAMPINAS,ESTÉTICA,Novembro,CRIOLIPÓLISE,23.0
CAMPINAS,ESTÉTICA,Novembro,DRENAGEM,125.0
CAMPINAS,ESTÉTICA,Novembro,DRENAGEM 30 MIN,3.0
CAMPINAS,ESTÉTICA,Novembro,HECCUS,21.0
CAMPINAS,ESTÉTICA,Novembro,LIMPEZA DE PELE,125.0
CAMPINAS,ESTÉTICA,Novembro,PRÓ- SHAPE,25.0
CAMPINAS,ESTÉTICA,Novembro,PRÓ-SHAPE,5.0
CAMPINAS,ESTÉTICA,Novembro,RADIOFREQUÊNCIA,27.0
CAMPINAS,ESTÉTICA,Outubro,CARBOXITERAPIA,8.0
CAMPINAS,ESTÉTICA,Outubro,CRIOLIPÓLISE,19.0
CAMPINAS,ESTÉTICA,Outubro,DRENAGEM,54.0
CAMPINAS,ESTÉTICA,Outubro,DRENAGEM 30 MIN,10.0
CAMPINAS,ESTÉTICA,Outubro,HECCUS,2.0
CAMPINAS,ESTÉTICA,Outubro,LIMPEZA DE PELE,17.0
CAMPINAS,ESTÉTICA,Outubro,PRÓ-SHAPE,20.0
CAMPINAS,ESTÉTICA,Setembro,CARBOXITERAPIA,3.0
CAMPINAS,ESTÉTICA,Setembro,CRIOLIPÓLISE,10.0
CAMPINAS,ESTÉTICA,Setembro,DRENAGEM,30.0
CAMPINAS,ESTÉTICA,Setembro,DRENAGEM 30 MIN,10.0
CAMPINAS,ESTÉTICA,Setembro,HECCUS,13.0
CAMPINAS,ESTÉTICA,Setembro,LIMPEZA DE PELE,17.0
CAMPINAS,ESTÉTICA,Setembro,PRÓ- SHAPE,8.0
CAMPINAS,ESTÉTICA,Setembro,PRÓ-SHAPE,10.0
CAMPINAS,ESTÉTICA,Setembro,RADIOFREQUÊNCIA,10.0
CAMPINAS,LAVIEEN,Agosto,LAVIEEN,49.0
CAMPINAS,LAVIEEN,Agosto,PRÓ-SÉRUM,1.0
CAMPINAS,LAVIEEN,Fevereiro,LAVIEEN,39.0
CAMPINAS,LAVIEEN,Janeiro,LAVIEEN,66.0
CAMPINAS,LAVIEEN,Julho,LAVIEEN,48.0
CAMPINAS,LAVIEEN,Julho,PRÓ-SÉRUM,3.0
CAMPINAS,LAVIEEN,Junho,LAVIEEN,70.0
CAMPINAS,LAVIEEN,Maio,LAVIEEN,47.0
CAMPINAS,LAVIEEN,Maio,PRÓ-SÉRUM,2.0
CAMPINAS,LAVIEEN,Março,LAVIEEN,39.0
CAMPINAS,LAVIEEN,Novembro,LAVIEEN,37.0
CAMPINAS,LAVIEEN,Outubro,LAVIEEN,27.0
CAMPINAS,LAVIEEN,Setembro,LAVIEEN,28.0
CAMPINAS,LAVIEEN,Setembro,PRÓ-SÉRUM,1.0
CAMPINAS,MEDICINA ESTÉTICA,Agosto,BOTOX LIGHT,6.0
CAMPINAS,MEDICINA ESTÉTICA,Agosto,BOTOX POWER,44.0
CAMPINAS,MEDICINA ESTÉTICA,Agosto,PREENCHIMENTO,32.0
CAMPINAS,MEDICINA ESTÉTICA,Agosto,PRÓ-LIPO,5.0
CAMPINAS,MEDICINA ESTÉTICA,Agosto,RADIESSE,2.0
CAMPINAS,MEDICINA ESTÉTICA,Agosto,SCULPTRA,11.0
CAMPINAS,MEDICINA ESTÉTICA,Agosto,SECAGEM,4.0
CAMPINAS,MEDICINA ESTÉTICA,Fevereiro,BOTOX LIGHT,1.0
CAMPINAS,MEDICINA ESTÉTICA,Fevereiro,BOTOX POWER,18.0
CAMPINAS,MEDICINA ESTÉTICA,Fevereiro,CO2 CICATRIZ,3.0
CAMPINAS,MEDICINA ESTÉTICA,Fevereiro,CO2 ROSTO,3.0
CAMPINAS,MEDICINA ESTÉTICA,Fevereiro,DERMAROLLER,1.0
CAMPINAS,MEDICINA ESTÉTICA,Fevereiro,PEELING QUÍMICO,1.0
CAMPINAS,MEDICINA ESTÉTICA,Fevereiro,PREENCHIMENTO,14.0
CAMPINAS,MEDICINA ESTÉTICA,Fevereiro,PRÓ-BELLA,1.0
CAMPINAS,MEDICINA ESTÉTICA,Fevereiro,PRÓ-LIPO,43.0
CAMPINAS,MEDICINA ESTÉTICA,Fevereiro,RADIESSE,2.0
CAMPINAS,MEDICINA ESTÉTICA,Fevereiro,SCULPTRA,4.0
CAMPINAS,MEDICINA ESTÉTICA,Fevereiro,SECAGEM,4.0
CAMPINAS,MEDICINA ESTÉTICA,Janeiro,BOTOX LIGHT,2.0
